Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2004-05 to 2005-06, Narrandera,67.7,"1,065.10",178.5,152.7,208.7, ++
 2003-04 to 2004-05, Bland,67,"1,065.00",186.6,158.8,218, ++
 2010-11 to 2011-12, Cobar,49.2,"1,062.50",154.2,128.1,182.8, ++
 2011-12 to 2012-13, Lachlan,72.6,"1,057.90",150.8,128.7,175.5, ++
 2007-08 to 2008-09, Carrathool,29.6,"1,052.10",156.9,126.2,190.2, ++
 2008-09 to 2009-10, Carrathool,29.4,"1,051.20",156.1,123.2,191.3, ++
 2011-12 to 2012-13, North Sydney,734.2,"1,050.30",149.7,142.2,157.5, ++
 2006-07 to 2007-08, Lane Cove,342.4,"1,045.00",156.2,145.1,168, ++
 2006-07 to 2007-08, Narrandera,65.9,"1,044.20",156,133.9,181, ++
 2012-13 to 2013-14, Lane Cove,356.1,"1,044.00",146.9,136.5,157.7, ++
 2002-03 to 2003-04, Balranald,26.8,"1,040.60",188.8,145.8,237.5, ++
 2008-09 to 2009-10, Narrandera,65.8,"1,040.60",154.5,132.4,179.6, ++
 2009-10 to 2010-11, Narrandera,66.4,"1,040.00",153.8,129.3,180.7, ++
 2008-09 to 2009-10, Manly,432.5,"1,038.50",154.2,144.2,164.5, ++
 2009-10 to 2010-11, Hunters Hill,161.1,"1,035.20",153.1,137.4,170.3, ++
 2010-11 to 2011-12, North Sydney,713.9,"1,034.10",150.1,142.7,157.7, ++
 2013-14 to 2014-15, Cobar,49.5,"1,033.00",146.3,121.4,172.7, ++
 2009-10 to 2010-11, Mosman,316.9,"1,030.40",152.4,140.4,164.4, ++
 2010-11 to 2011-12, Hay,32.6,"1,026.70",149,118.9,183.8, ++
 2004-05 to 2005-06, Bogan,29.1,"1,025.40",171.8,135.7,210.5, ++
 2008-09 to 2009-10, Hunters Hill,157.7,"1,024.70",152.2,135.9,169.5, ++
 2013-14 to 2014-15, Central Darling,20.4,"1,024.70",145.1,114.3,182.7, ++
 2004-05 to 2005-06, Kyogle,96.5,"1,021.10",171.1,148,194, ++
 2003-04 to 2004-05, Bogan,29.3,"1,020.40",178.8,140.7,225.8, ++
 2012-13 to 2013-14, Hawkesbury,629.9,"1,018.00",143.3,135.9,151.3, ++
 2011-12 to 2012-13, Lithgow,222.5,"1,010.90",144.1,131.6,157.5, ++
 2010-11 to 2011-12, Lachlan,69,"1,009.10",146.5,124.8,172, ++
 2002-03 to 2003-04, Bellingen,130.8,"1,006.60",182.6,161.7,205.9, ++
 2009-10 to 2010-11, Cootamundra,81.3,"1,003.60",148.4,127.6,170.1, ++
 2009-10 to 2010-11, Sydney,"1,854.60",999.5,147.8,142.9,152.5, ++
 2010-11 to 2011-12, Sydney,"1,854.20",999.3,145,140.5,149.7, ++
 2007-08 to 2008-09, Cootamundra,78.4,997.7,148.7,127.5,171.9, ++
 2013-14 to 2014-15, Marrickville,820.9,997.6,141.2,134.7,148.4, ++
 2009-10 to 2010-11, Carrathool,27.5,996.2,147.3,117.6,182.1, ++
 2008-09 to 2009-10, Hay,32,995.3,147.8,119.2,178.8, ++
 2006-07 to 2007-08, Kyogle,96.4,994.5,148.6,129.2,169.3, ++
 2013-14 to 2014-15, Ashfield,458.2,992.6,140.5,131.7,150, ++
 2012-13 to 2013-14, Young,128.5,992.4,139.7,124.1,156.6, ++
 2006-07 to 2007-08, Cootamundra,77.3,990.4,148,126.9,171.1, ++
 2013-14 to 2014-15, Tumbarumba,38.6,989.8,140.1,114.9,168.1, ++
 2012-13 to 2013-14, Ashfield,454.3,988.4,139.1,130.2,148, ++
 2008-09 to 2009-10, Coonamble,40.8,987.2,146.6,119.2,176.1, ++
 2009-10 to 2010-11, Cobar,45.9,983.5,145.4,119.1,173.4, ++
 2003-04 to 2004-05, Balranald,24.9,980.5,171.8,132.7,218.8, ++
 2007-08 to 2008-09, Narrandera,61.5,978.3,145.9,124.4,170.7, ++
 2004-05 to 2005-06, Coonamble,41.3,977.2,163.7,133.1,197, ++
 2008-09 to 2009-10, Moree Plains,125.5,977.1,145.1,127.8,162.9, ++
 2011-12 to 2012-13, Hawkesbury,598.7,976.9,139.2,131.6,147, ++
 2011-12 to 2012-13, Young,126.1,974.1,138.8,123.3,154.9, ++
 2011-12 to 2012-13, Woollahra,583.7,974,138.8,130.9,147, ++
 2011-12 to 2012-13, Hay,30.7,972.9,138.7,111.5,171.8, ++
 2004-05 to 2005-06, Bland,60.4,972.7,163,136.7,191.4, ++
 2007-08 to 2008-09, Sydney,"1,780.80",971.2,144.8,140,149.6, ++
 2007-08 to 2008-09, Hunters Hill,148,970.6,144.7,128.9,162, ++
 2005-06 to 2006-07, Leeton,104.7,970.1,151,131.1,171, ++
 2012-13 to 2013-14, Lithgow,215.1,969.5,136.4,124.3,149.3, ++
 2012-13 to 2013-14, Cootamundra,82.1,968.3,136.3,116.8,156.9, ++
 2008-09 to 2009-10, Sydney,"1,792.50",967.2,143.6,138.9,148.2, ++
 2004-05 to 2005-06, Wellington,78.8,966.6,162,138.4,188, ++
 2010-11 to 2011-12, Woollahra,573.8,964.5,140,131.9,148.4, ++
 2013-14 to 2014-15, Cootamundra,82.6,963.5,136.4,118.3,155.9, ++
 2002-03 to 2003-04, Coonamble,42.1,962.7,174.6,140.4,211.3, ++
 2007-08 to 2008-09, Lane Cove,316.3,960.7,143.2,132.3,154.4, ++
 2013-14 to 2014-15, Hawkesbury,600.1,959.4,135.8,128.2,143.5, ++
 2013-14 to 2014-15, Junee,61.5,958.7,135.7,114.7,158.8, ++
 2005-06 to 2006-07, Griffith,223.7,958.6,149.2,135.7,163.2, ++
 2007-08 to 2008-09, Mosman,286.9,957.3,142.7,131.5,154.7, ++
 2012-13 to 2013-14, Gundagai,37.4,956.2,134.6,109.7,164.6, ++
 2003-04 to 2004-05, Bellingen,125,955.7,167.5,147.2,187.8, ++
 2009-10 to 2010-11, Moree Plains,122.8,955.7,141.3,125.3,158.8, ++
 2010-11 to 2011-12, Jerilderie,16,955.3,138.7,105.3,180.3, +
 2003-04 to 2004-05, Wellington,78.4,955.2,167.4,142.9,193.5, ++
 2008-09 to 2009-10, Warren,26.6,955.1,141.8,111.7,175, ++
 2012-13 to 2013-14, Deniliquin,77,954.1,134.3,115.5,155.8, ++
 2011-12 to 2012-13, Cootamundra,79.9,953.6,135.9,117.3,156.6, ++
 2009-10 to 2010-11, North Sydney,654,953.5,141,133.3,148.4, ++
 2012-13 to 2013-14, North Sydney,676.4,952.8,134.1,127.2,141.4, ++
 2007-08 to 2008-09, Bland,59,951.3,141.8,120,165.2, ++
 2013-14 to 2014-15, Mosman,299,950.8,134.6,124.4,145.3, ++
 2006-07 to 2007-08, Lithgow,198,950.6,142,129,155.5, ++
 2012-13 to 2013-14, Leichhardt,528.1,949,133.6,125.3,141.5, ++
 2011-12 to 2012-13, Jerilderie,15.7,948,135.1,100.6,174.5, +
 2004-05 to 2005-06, Tenterfield,64.4,947.6,158.8,133.9,185.9, ++
 2009-10 to 2010-11, Kyogle,94.9,946.9,140,121.6,159.6, ++
 2002-03 to 2003-04, Warren,28.8,944.4,171.3,132.9,213.1, ++
 2008-09 to 2009-10, Eurobodalla,382.5,944.1,140.2,130.1,150.2, ++
 2011-12 to 2012-13, Bogan,27.8,943.3,134.4,105.6,167.8, +
 2011-12 to 2012-13, Deniliquin,74.7,937.5,133.6,112.9,154.5, ++
 2007-08 to 2008-09, Clarence Valley,492.4,936.7,139.6,131.2,148.2, ++
 2009-10 to 2010-11, Hay,29.9,935.6,138.3,111.4,169.3, ++
 2003-04 to 2004-05, Warren,27.6,934.7,163.8,128.5,203.9, ++
 2008-09 to 2009-10, Kyogle,92.4,934,138.7,121.2,158.5, ++
 2010-11 to 2011-12, Waverley,644.4,933.2,135.4,128.4,142.7, ++
 2002-03 to 2003-04, Bland,59.9,932.9,169.2,142,199.2, ++
 2012-13 to 2013-14, Randwick,"1,325.50",932.7,131.3,126.4,136.3, ++
 2007-08 to 2008-09, Kyogle,91.2,932.1,139,120.4,159.1, ++
 2005-06 to 2006-07, Narrabri,121.7,931.6,145,127.8,163.3, ++
 2013-14 to 2014-15, Bogan,28,930.7,131.8,104,163.5, +
 2001-02 to 2002-03, Bellingen,119.1,930.4,171.9,150.6,194.6, ++
 2010-11 to 2011-12, Carrathool,25.3,929.8,134.9,108.6,165.3, +
 2004-05 to 2005-06, Moree Plains,126,929.6,155.8,137.9,174.6, ++
 2006-07 to 2007-08, Forbes,89.7,928.8,138.8,120.2,159.5, ++
 2009-10 to 2010-11, Gundagai,35.5,927,137.1,110.5,167.2, ++
 2011-12 to 2012-13, Ashfield,425.3,926.4,132,123.5,141.1, ++
 2006-07 to 2007-08, Clarence Valley,480.4,925.3,138.3,129.9,146.9, ++
 2010-11 to 2011-12, Cootamundra,76.3,923.7,134.1,114,154.9, ++
 2006-07 to 2007-08, Sydney,"1,672.90",923.6,138,133.2,142.8, ++
 2010-11 to 2011-12, Holroyd,909.1,923.5,134,128,140.5, ++
 2003-04 to 2004-05, Narrandera,59,921.2,161.4,135.2,190.4, ++
 2013-14 to 2014-15, Deniliquin,75,921.1,130.4,110.9,149.8, ++
 2011-12 to 2012-13, Leichhardt,506.4,920.7,131.2,123.2,139.3, ++
 2012-13 to 2013-14, Ku-ring-gai,"1,147.50",920.2,129.5,124.2,135.2, ++
 2007-08 to 2008-09, Lithgow,193.5,919.8,137.1,123.8,151.1, ++
 2012-13 to 2013-14, Tumbarumba,35.5,919.7,129.4,104,158.9, +
 2011-12 to 2012-13, Waverley,637.4,919.6,131.1,124.1,138.3, ++
 2013-14 to 2014-15, Sydney,"1,789.60",919.2,130.1,125.9,134.4, ++
 2011-12 to 2012-13, Temora,59.4,919,131,110.4,153.3, ++
 2009-10 to 2010-11, Coonamble,38.2,918.9,135.9,108.9,166.7, ++
 2011-12 to 2012-13, Richmond Valley,217.7,918.8,131,119.2,143.5, ++
