Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2005-06 to 2006-07, Weddin,29.9,752.5,117.1,91.8,144.9,0
 2009-10 to 2010-11, Randwick,"1,044.90",751.8,111.2,106.6,115.7, ++
 2011-12 to 2012-13, Coolamon,33.9,751.7,107.1,86.3,130.9,0
 2012-13 to 2013-14, Guyra,35.8,751.7,105.8,86,126.8,0
 2008-09 to 2009-10, Oberon,39.6,751.6,111.6,91.5,134,0
 2006-07 to 2007-08, Bega Valley,252.9,751.5,112.3,102.8,122.2, +
 2012-13 to 2013-14, Hornsby,"1,273.00",750.8,105.7,101.7,109.8, ++
 2004-05 to 2005-06, Cootamundra,58,750.4,125.7,104.5,148.1, +
 2005-06 to 2006-07, Murrumbidgee,18.3,750,116.7,88.4,152.6,0
 2007-08 to 2008-09, Wyong,"1,117.20",749.7,111.8,107.2,116.3, ++
 2005-06 to 2006-07, Shellharbour,438.4,749.5,116.6,109,124.5, ++
 2010-11 to 2011-12, Coffs Harbour,554.1,749,108.7,102.6,115.5, ++
 2005-06 to 2006-07, Glen Innes Severn,70.3,748.3,116.5,98.5,136.1,0
 2008-09 to 2009-10, Goulburn Mulwaree,213,748.2,111.1,100.9,121.6, +
 2003-04 to 2004-05, Walcha,24.6,748,131.1,100.7,164.9, +
 2013-14 to 2014-15, Gosford,"1,386.10",748,105.9,102,109.9, ++
 2011-12 to 2012-13, Shoalhaven,801.1,747.9,106.6,101.3,111.9, +
 2001-02 to 2002-03, Lithgow,152.4,747.8,138.1,123,153, ++
 2009-10 to 2010-11, Leeton,80,747.7,110.6,95.3,127.7,0
 2008-09 to 2009-10, Berrigan,66.8,747.4,111,93,130.9,0
 2010-11 to 2011-12, Coolamon,33,747.3,108.5,87.7,132.2,0
 2005-06 to 2006-07, Cowra,96.3,746.9,116.2,101.3,132.7, +
 2007-08 to 2008-09, Orange,270.7,746.8,111.3,102.5,120.8, +
 2013-14 to 2014-15, Jerilderie,12.5,746.8,105.7,79,136.6,0
 2006-07 to 2007-08, Urana,9.7,746.5,111.6,79.7,149.4,0
 2003-04 to 2004-05, Woollahra,426.8,746.2,130.8,122.4,139.5, ++
 2007-08 to 2008-09, Griffith,177.7,745.9,111.2,100.1,122.7, +
 2011-12 to 2012-13, Warren,21.8,744.7,106.1,81.8,133.7,0
 2001-02 to 2002-03, Young,87.5,744.1,137.5,118.6,157.9, ++
 2007-08 to 2008-09, Greater Hume Shire,75.5,743.3,110.8,95.6,128.5,0
 2004-05 to 2005-06, Forbes,71.1,743.1,124.5,105.3,144.9, ++
 2012-13 to 2013-14, Shellharbour,489.4,742.7,104.5,98.1,111.2,0
 2009-10 to 2010-11, Wagga Wagga,436.3,742.3,109.8,102.8,117, ++
 2013-14 to 2014-15, Penrith,"1,319.00",742.1,105.1,101.2,108.9, +
 2005-06 to 2006-07, Randwick,974.6,741.9,115.5,110.4,120.6, ++
 2008-09 to 2009-10, Wyong,"1,130.10",741.6,110.1,105.7,114.6, ++
 2001-02 to 2002-03, Gilgandra,35.1,741.3,137,109.2,168.7, ++
 2008-09 to 2009-10, Greater Hume Shire,75.5,741.2,110.1,94,127.4,0
 2007-08 to 2008-09, Parkes,108.8,741,110.5,96.8,124.6,0
 2008-09 to 2009-10, Junee,46.5,740.9,110,89.9,131.6,0
 2003-04 to 2004-05, Wyong,"1,040.70",740.7,129.8,124.2,135.5, ++
 2008-09 to 2009-10, Forbes,71.8,740.2,109.9,93.1,127.7,0
 2010-11 to 2011-12, Wagga Wagga,436,740.1,107.4,100.2,114.7, +
 2009-10 to 2010-11, Bland,45.8,738.1,109.1,91.3,131.6,0
 2005-06 to 2006-07, Parramatta,"1,127.90",735.8,114.5,109.9,119.1, ++
 2010-11 to 2011-12, Penrith,"1,241.80",735.6,106.8,102.7,111, ++
 2011-12 to 2012-13, Lismore,332.3,735.2,104.8,97,112.9,0
 2012-13 to 2013-14, Wellington,67.4,734.7,103.4,87.7,120.1,0
 2008-09 to 2009-10, Cabonne,94.7,734.1,109,95,124.8,0
 2010-11 to 2011-12, Orange,278.1,733.7,106.5,97.8,115.9,0
 2003-04 to 2004-05, Griffith,168.9,733.5,128.5,114.9,142.5, ++
 2002-03 to 2003-04, Walcha,24.1,733.2,133,102.5,169, +
 2001-02 to 2002-03, Manly,301.9,733.1,135.4,125.1,146.5, ++
 2003-04 to 2004-05, Auburn,452.9,733.1,128.5,120.6,137.1, ++
 2010-11 to 2011-12, Lane Cove,246.1,733.1,106.4,97.9,115.1,0
 2009-10 to 2010-11, Bathurst Regional,280,732.1,108.2,99.6,117.2,0
 2003-04 to 2004-05, Cowra,94.5,732,128.3,111,146.4, ++
 2011-12 to 2012-13, Coffs Harbour,545.7,731.8,104.3,98.2,110.2,0
 2009-10 to 2010-11, Wyong,"1,137.30",731.7,108.2,103.8,112.7, ++
 2005-06 to 2006-07, Eurobodalla,285.2,731.6,113.9,105,123, ++
 2004-05 to 2005-06, Ryde,760.2,731.1,122.5,116.9,128.5, ++
 2003-04 to 2004-05, Tenterfield,49.5,730.9,128.1,105,152.5, +
 2006-07 to 2007-08, Berrigan,63.7,730.8,109.2,92.2,127.4,0
 2008-09 to 2009-10, Leichhardt,396.6,730.4,108.5,101.3,116.2, +
 2010-11 to 2011-12, Harden,29,730,105.9,84.5,131.2,0
 2012-13 to 2013-14, Griffith,181,730,102.7,93.2,113.4,0
 2006-07 to 2007-08, Mid-Western Regional,161.5,729.7,109,98.1,120.8,0
 2012-13 to 2013-14, Warren,21.8,729.7,102.7,79.1,128.3,0
 2005-06 to 2006-07, Botany Bay,277.2,729.5,113.5,103.9,123, ++
 2007-08 to 2008-09, Leichhardt,391.6,729.4,108.8,101,116.5, +
 2003-04 to 2004-05, Gundagai,27.5,729.2,127.8,99.9,160.3,0
 2007-08 to 2008-09, Junee,45.4,729,108.7,88.8,129.2,0
 2013-14 to 2014-15, Lockhart,24.3,728.8,103.2,80.9,130.2,0
 2006-07 to 2007-08, Greater Hume Shire,73.8,728.5,108.9,93.3,125.5,0
 2010-11 to 2011-12, Cowra,98.6,728.2,105.7,92.7,119.6,0
 2001-02 to 2002-03, Carrathool,23.1,727.9,134.5,103.4,168.9, +
 2012-13 to 2013-14, Shoalhaven,788.6,727.9,102.4,97.7,107.4,0
 2010-11 to 2011-12, Bombala,20.2,727.8,105.6,79.5,135,0
 2004-05 to 2005-06, Botany Bay,275.2,727.2,121.8,111.9,132.1, ++
 2009-10 to 2010-11, Botany Bay,296.3,727,107.5,99.2,116.3,0
 2004-05 to 2005-06, Murrumbidgee,17.8,726.6,121.8,92.6,154.1,0
 2010-11 to 2011-12, Warringah,"1,102.60",726.4,105.4,101,109.8, +
 2007-08 to 2008-09, Goulburn Mulwaree,202.4,726.2,108.3,97.8,119,0
 2004-05 to 2005-06, Gosford,"1,214.40",725,121.5,116.9,126.3, ++
 2009-10 to 2010-11, Broken Hill,148.9,725,107.2,95.3,119.7,0
 2012-13 to 2013-14, Bega Valley,269.7,724.5,102,93.8,111.3,0
 2013-14 to 2014-15, Forbes,72.5,724.3,102.5,88.4,118.4,0
 2007-08 to 2008-09, Bellingen,97.4,724.2,108,94.1,122.5,0
 2011-12 to 2012-13, Willoughby,516.8,724.1,103.2,97.1,109.6,0
 2006-07 to 2007-08, Wingecarribee,324.9,724,108.2,100.4,116.8, +
 2003-04 to 2004-05, Eurobodalla,275.3,723.7,126.8,116.2,137, ++
 2010-11 to 2011-12, Ashfield,332.8,723.7,105,97.7,112.8,0
 2009-10 to 2010-11, Narromine,47.3,723.6,107,87.8,126.8,0
 2011-12 to 2012-13, Kyogle,74.3,723.6,103.1,88.2,119.3,0
 2012-13 to 2013-14, Hunters Hill,113.5,723.5,101.8,88.9,115,0
 2007-08 to 2008-09, Weddin,29.1,723,107.8,83.9,133.7,0
 2006-07 to 2007-08, Bathurst Regional,264.5,722.1,107.9,98.8,117.2,0
 2011-12 to 2012-13, Broken Hill,149.1,722.1,102.9,92,115.2,0
 2008-09 to 2009-10, Cowra,94.4,721.5,107.1,93.5,121.7,0
 2007-08 to 2008-09, Parramatta,"1,155.70",721.4,107.6,103.2,112, ++
 2012-13 to 2013-14, Berrigan,68,721.2,101.5,86.3,118.8,0
 2003-04 to 2004-05, Forbes,69.8,720.9,126.3,106.9,146.9, ++
 2009-10 to 2010-11, Shoalhaven,740.1,720,106.5,101.1,112, +
 2001-02 to 2002-03, Hay,25.5,719.7,133,102.3,166.2, +
 2007-08 to 2008-09, Byron,223.9,719.4,107.3,97.8,117.1,0
 2009-10 to 2010-11, Upper Lachlan Shire,55.8,719.4,106.4,89,124.7,0
 2009-10 to 2010-11, Cabonne,93.7,719.3,106.4,93.7,120.4,0
 2006-07 to 2007-08, Lockhart,23.7,719.2,107.5,82.8,136.3,0
 2005-06 to 2006-07, Byron,220.7,719.1,111.9,101.7,122, +
 2007-08 to 2008-09, Penrith,"1,191.50",719.1,107.2,103,111.7, ++
 2013-14 to 2014-15, Bellingen,101.6,719,101.8,89.1,115.7,0
 2008-09 to 2009-10, Bombala,19.8,718.8,106.7,79.3,138.4,0
 2010-11 to 2011-12, Boorowa,18.9,718.7,104.3,79.3,132.3,0
 2010-11 to 2011-12, Junee,45.4,718.4,104.3,85.8,124.8,0
 2011-12 to 2012-13, Wakool,33,718.3,102.4,81.6,125.1,0
 2004-05 to 2005-06, Eurobodalla,276.4,718.1,120.3,110.6,130.2, ++
 2006-07 to 2007-08, Parramatta,"1,122.80",718.1,107.3,103,111.6, ++
 2010-11 to 2011-12, Wyong,"1,133.10",717.6,104.2,100,108.6,0
 2006-07 to 2007-08, Gosford,"1,220.10",717.4,107.2,102.9,111.5, ++
 2005-06 to 2006-07, Marrickville,552.1,717,111.6,105.2,118.6, ++
 2002-03 to 2003-04, Richmond Valley,153.1,716.9,130,115.7,144.3, ++
 2008-09 to 2009-10, Willoughby,498.6,715.8,106.3,100.1,112.8, +
 2006-07 to 2007-08, Guyra,30.8,715.2,106.9,85.3,130.7,0
 2007-08 to 2008-09, Cowra,92.8,714.7,106.6,92.9,120.9,0
 2010-11 to 2011-12, Randwick,998.6,714.7,103.7,99.3,108.5,0
 2009-10 to 2010-11, Griffith,173.6,714.6,105.7,95.3,116.5,0
 2003-04 to 2004-05, Young,85,714.2,125.2,107.5,143.9, ++
 2008-09 to 2009-10, Shoalhaven,714.5,714.2,106,100.6,111.5, +
 2002-03 to 2003-04, Young,84.6,714.1,129.5,110.8,149.5, ++
 2005-06 to 2006-07, Penrith,"1,159.60",714.1,111.1,106.8,115.8, ++
 2012-13 to 2013-14, Urana,9.3,714,100.5,73.4,132.6,0
 2005-06 to 2006-07, Shoalhaven,674.1,713.6,111.1,105.4,117.3, ++
 2009-10 to 2010-11, Coffs Harbour,520.4,713.6,105.5,99.3,112.1,0
 2011-12 to 2012-13, Bega Valley,263.3,713.6,101.7,93.4,110.2,0
 2011-12 to 2012-13, Moree Plains,93.6,712.7,101.6,88.3,116.3,0
 2009-10 to 2010-11, Byron,225.9,712.4,105.3,95.9,115.1,0
 2010-11 to 2011-12, Shoalhaven,750.8,712.3,103.4,98.1,108.7,0
 2010-11 to 2011-12, Upper Lachlan Shire,56.3,712.3,103.4,87,122.1,0
 2004-05 to 2005-06, Gundagai,26.7,712.2,119.3,92.8,151.9,0
 2006-07 to 2007-08, Leichhardt,375.6,712.2,106.4,99,113.8,0
 2004-05 to 2005-06, Waverley,483,712.1,119.3,111.9,127.2, ++
 2003-04 to 2004-05, Gosford,"1,188.40",711.8,124.7,119.7,129.6, ++
 2011-12 to 2012-13, Warrumbungle Shire,75.3,711.6,101.4,86.6,116.3,0
 2013-14 to 2014-15, Hornsby,"1,219.90",711.3,100.7,96.8,104.9,0
 2003-04 to 2004-05, Richmond Valley,152,710.7,124.5,111.7,138.7, ++
 2012-13 to 2013-14, Wagga Wagga,424.4,710.5,100,93.4,106.5,0
 2003-04 to 2004-05, Deniliquin,56.9,710.1,124.4,104,147.1, +
 2009-10 to 2010-11, Junee,44.7,710,105,86.7,125.7,0
 2012-13 to 2013-14, Ryde,810.9,710,99.9,95.2,104.8,0
 2006-07 to 2007-08, Shoalhaven,681.6,709,105.9,100.5,111.8, +
 2010-11 to 2011-12, Broken Hill,146.1,708.9,102.9,91.7,114.7,0
 2011-12 to 2012-13, Wyong,"1,134.70",708.8,101,97.1,105.2,0
 2002-03 to 2003-04, Ryde,735.4,708.7,128.6,122,135, ++
 2003-04 to 2004-05, Upper Hunter Shire,95.7,708.4,124.1,107.7,141.2, ++
 2009-10 to 2010-11, Leichhardt,386,708.3,104.7,97.8,112.1,0
 2010-11 to 2011-12, Berrigan,65.5,707.9,102.7,87.1,120.1,0
 2011-12 to 2012-13, Griffith,174.4,707.7,100.9,90.9,111.5,0
 2003-04 to 2004-05, Murrumbidgee,17.3,706.9,123.9,91.8,159.1,0
 2008-09 to 2009-10, Coffs Harbour,505.4,706.8,105,98.6,111.9,0
 2006-07 to 2007-08, Holroyd,651.2,706.7,105.6,99.9,111.5,0
 2004-05 to 2005-06, Richmond Valley,152.4,706.6,118.4,106.3,131.2, ++
 2013-14 to 2014-15, Blacktown,"2,072.90",706.6,100.1,97,103.1,0
 2010-11 to 2011-12, Gosford,"1,274.30",706.5,102.5,98.6,106.7,0
 2006-07 to 2007-08, Pittwater,412.8,706,105.5,98.1,112.8,0
 2012-13 to 2013-14, Byron,233.6,705.9,99.3,90.6,108.1,0
 2013-14 to 2014-15, Upper Lachlan Shire,59,705.8,99.9,84.9,116.6,0
 2002-03 to 2003-04, Woollahra,404.9,705.7,128,119.5,136.7, ++
 2007-08 to 2008-09, Unincorporated NSW,8.2,705.7,105.2,71,145.7,0
 2003-04 to 2004-05, Ku-ring-gai,783.3,705.2,123.6,117.2,129.9, ++
 2001-02 to 2002-03, Woollahra,405.5,704.9,130.2,121.5,138.8, ++
 2006-07 to 2007-08, Glen Innes Severn,66.4,704.9,105.3,89.6,123.4,0
 2012-13 to 2013-14, Willoughby,509.4,704.9,99.2,93.4,105,0
 2004-05 to 2005-06, Orange,249.9,704.1,118,107.6,128.4, ++
 2012-13 to 2013-14, Boorowa,19.1,703.7,99,76.4,125,0
 2005-06 to 2006-07, Bathurst Regional,255.7,703.5,109.5,100.8,119, +
 2013-14 to 2014-15, Canada Bay,618.4,703.5,99.6,94,105.1,0
 2007-08 to 2008-09, Jerilderie,11.7,702.5,104.7,75.9,136.4,0
 2008-09 to 2009-10, Parkes,104,701.4,104.1,90.9,118.8,0
 2001-02 to 2002-03, Walcha,23,701.3,129.6,101,162.7, +
 2001-02 to 2002-03, Forbes,70.6,701.1,129.5,110.1,152.1, ++
 2002-03 to 2003-04, Cowra,90.8,701.1,127.2,110.6,145.4, ++
 2006-07 to 2007-08, Narromine,45.3,700.5,104.7,85.4,124.8,0
 2008-09 to 2009-10, Jerilderie,11.7,700.2,104,76.3,137.7,0
 2010-11 to 2011-12, Hornsby,"1,168.10",700.1,101.6,97.6,105.9,0
 2012-13 to 2013-14, Gosford,"1,286.90",699.7,98.5,94.8,102.4,0
 2007-08 to 2008-09, Mid-Western Regional,157.3,699.2,104.3,93.7,114.8,0
 2013-14 to 2014-15, Wellington,65,699,99,83.3,115.9,0
 2008-09 to 2009-10, Richmond Valley,160.3,698.8,103.8,93,115.7,0
 2009-10 to 2010-11, Goulburn Mulwaree,203.1,698.2,103.2,93.8,113,0
 2011-12 to 2012-13, Gosford,"1,270.50",698,99.5,95.5,103.4,0
 2006-07 to 2007-08, Orange,250,697.8,104.3,95.6,113.5,0
 2007-08 to 2008-09, Wollongong,"1,383.30",697.4,104,100.2,107.8, +
 2012-13 to 2013-14, Wollongong,"1,465.20",697.3,98.1,94.8,101.8,0
 2001-02 to 2002-03, Armidale Dumaresq,164.7,697.2,128.8,115.8,142.5, ++
 2008-09 to 2009-10, Byron,219.1,697.2,103.5,94.3,113.3,0
 2005-06 to 2006-07, Guyra,29.8,697.1,108.5,86.6,133.2,0
 2009-10 to 2010-11, Urana,9,696.9,103,73,138.5,0
 2013-14 to 2014-15, Wollongong,"1,479.10",696.8,98.7,95.1,102.3,0
 2004-05 to 2005-06, Junee,42.7,696.6,116.7,95.7,140.3,0
 2012-13 to 2013-14, Bombala,18.7,696.6,98,74,125.5,0
 2009-10 to 2010-11, Nambucca,147.8,696.5,103,92.2,114.7,0
 2007-08 to 2008-09, Cabonne,89.1,696.4,103.8,90,118.1,0
 2004-05 to 2005-06, Shellharbour,403.1,696.2,116.7,109.3,125, ++
 2009-10 to 2010-11, Gosford,"1,242.10",696.2,102.9,99,107,0
 2011-12 to 2012-13, Boorowa,18.6,695.7,99.2,75.3,126.4,0
 2011-12 to 2012-13, Upper Lachlan Shire,55.9,695.7,99.2,83,116.1,0
 2009-10 to 2010-11, Oberon,36.9,695.2,102.8,84,124.9,0
 2003-04 to 2004-05, Hay,23.8,695.1,121.8,92.9,152.9,0
 2011-12 to 2012-13, Parkes,106.5,695.1,99.1,86.9,112.1,0
 2006-07 to 2007-08, Jerilderie,11.7,694.3,103.7,73.6,136.5,0
 2013-14 to 2014-15, Wyong,"1,141.30",694.1,98.3,94.3,102.4,0
 2010-11 to 2011-12, Nambucca,150.6,693.8,100.7,89.9,112.1,0
 2012-13 to 2013-14, Upper Lachlan Shire,56.6,693.8,97.6,82.3,114.4,0
 2010-11 to 2011-12, Warrumbungle Shire,73,693.7,100.7,86.3,115.6,0
 2001-02 to 2002-03, Marrickville,547.3,693.6,128.1,120.7,136, ++
 2008-09 to 2009-10, Narromine,45.2,693.5,103,85.4,122.5,0
 2002-03 to 2003-04, Forbes,68.8,693.3,125.8,105.8,146.7, ++
 2012-13 to 2013-14, Ballina,323.3,692.6,97.5,90.4,104.7,0
 2009-10 to 2010-11, Pittwater,429.5,692.3,102.4,95.7,109.5,0
 2003-04 to 2004-05, Glen Innes Severn,64.5,692.1,121.3,101.9,140.9, +
 2010-11 to 2011-12, The Hills Shire,"1,160.40",692,100.4,96.4,104.4,0
 2011-12 to 2012-13, Ballina,319,692,98.6,91.3,106.2,0
 2013-14 to 2014-15, Coffs Harbour,527.6,691.9,98,92.2,103.9,0
 2006-07 to 2007-08, Blue Mountains,528.8,691.3,103.3,97,109.6,0
 2011-12 to 2012-13, Byron,224.2,691.3,98.5,89.8,107.9,0
 2013-14 to 2014-15, Bega Valley,260.3,690.5,97.8,89.7,106.2,0
 2012-13 to 2013-14, Wyong,"1,120.30",690.4,97.2,93.2,101.5,0
 2001-02 to 2002-03, Broken Hill,146.9,690.3,127.5,113.6,141.9, ++
 2012-13 to 2013-14, Nambucca,154.6,690.1,97.1,87.2,107.6,0
 2008-09 to 2009-10, Upper Lachlan Shire,52.8,689.7,102.4,85.5,121.5,0
 2003-04 to 2004-05, Coolamon,28,689.4,120.8,93.6,152.3,0
 2012-13 to 2013-14, Lockhart,22.4,689.3,97,74.8,121.8,0
 2004-05 to 2005-06, Manly,280.6,689.1,115.5,106.5,125, ++
 2013-14 to 2014-15, Newcastle,"1,133.00",688.5,97.5,93.7,101.5,0
 2012-13 to 2013-14, Warrumbungle Shire,72.7,688.4,96.9,83.1,111.7,0
 2011-12 to 2012-13, Murrumbidgee,16.4,687.9,98,73.1,127.3,0
 2005-06 to 2006-07, Harden,26.3,687.7,107,83.4,133.4,0
 2009-10 to 2010-11, Penrith,"1,153.70",687.7,101.7,97.5,105.8,0
 2001-02 to 2002-03, Richmond Valley,145.6,687.6,127,113.3,141.8, ++
 2008-09 to 2009-10, Tweed,644,687.4,102.1,96.6,108,0
 2005-06 to 2006-07, Tumbarumba,26.2,687.3,107,84.1,134.3,0
 2007-08 to 2008-09, Pittwater,406.9,686.6,102.4,95.4,109.8,0
 2008-09 to 2009-10, Botany Bay,275.5,686.5,101.9,93.5,110.3,0
 2007-08 to 2008-09, Lockhart,22.6,686.2,102.3,79,129.7,0
 2006-07 to 2007-08, Wollongong,"1,341.30",685.3,102.4,98.8,106.4,0
 2007-08 to 2008-09, Hornsby,"1,110.40",685.3,102.2,98.1,106.5,0
 2010-11 to 2011-12, Narromine,45.1,685.3,99.5,82.4,119.2,0
 2013-14 to 2014-15, Guyra,33,685.1,97,78.4,118,0
 2005-06 to 2006-07, Blue Mountains,519.1,685,106.6,100.4,113, +
 2006-07 to 2007-08, Inverell,110.3,685,102.4,90.4,115.1,0
 2007-08 to 2008-09, Shoalhaven,670.5,684.7,102.1,96.8,107.7,0
 2001-02 to 2002-03, Warrumbungle Shire,73.4,684.5,126.5,108.8,147.2, ++
 2008-09 to 2009-10, Ashfield,311.1,684.3,101.6,93.6,109.4,0
 2010-11 to 2011-12, Ballina,311.7,684.3,99.3,92.1,107,0
 2009-10 to 2010-11, Corowa Shire,83.1,683.9,101.1,86.3,116.6,0
 2012-13 to 2013-14, Newcastle,"1,117.20",683.8,96.2,92.2,100.2,0
 2011-12 to 2012-13, Ryde,771.1,683.7,97.4,92.7,102.3,0
 2005-06 to 2006-07, Orange,242.8,683.2,106.3,97.2,116.8,0
 2009-10 to 2010-11, Cooma-Monaro,72.1,682.7,100.9,86.4,117.2,0
 2008-09 to 2009-10, Gilgandra,31.3,682.6,101.4,80.9,124.4,0
 2008-09 to 2009-10, Gosford,"1,198.90",682.6,101.4,97.4,105.6,0
 2003-04 to 2004-05, Orange,242.4,682.5,119.6,109.2,130.6, ++
 2011-12 to 2012-13, Wollongong,"1,418.40",682.4,97.3,93.8,100.7,0
 2004-05 to 2005-06, Parkes,98.2,682,114.3,98.7,130.3,0
 2006-07 to 2007-08, Cabonne,86.6,682,101.9,87.4,117.3,0
 2008-09 to 2009-10, Mid-Western Regional,155.6,681.5,101.2,90.9,112,0
 2007-08 to 2008-09, North Sydney,459.8,681,101.5,95,108.4,0
 2009-10 to 2010-11, Guyra,30.7,680.9,100.7,80.9,123.5,0
 2010-11 to 2011-12, Byron,218,680.9,98.8,90,108.1,0
 2009-10 to 2010-11, Gilgandra,31.8,680.3,100.6,80.1,122.8,0
 2003-04 to 2004-05, Junee,41.1,680.2,119.2,96.9,144.9,0
 2008-09 to 2009-10, Nambucca,140.7,680.2,101,89.8,112.3,0
 2005-06 to 2006-07, Ballina,287.3,680,105.8,97.4,114.9,0
 2005-06 to 2006-07, Manly,277,679.8,105.8,97.1,114.6,0
 2007-08 to 2008-09, Narromine,44.2,679.7,101.3,83.6,121.6,0
 2002-03 to 2003-04, Cootamundra,52.2,679.3,123.2,101.7,145.9, +
 2011-12 to 2012-13, Hunters Hill,106.1,679,96.8,84.5,110.2,0
 2006-07 to 2007-08, Ballina,290.6,678.7,101.4,93.3,109.9,0
 2010-11 to 2011-12, Glen Innes Severn,65.6,678.2,98.4,83.3,115.5,0
 2004-05 to 2005-06, Shoalhaven,632.3,678.1,113.6,107.4,120.2, ++
 2013-14 to 2014-15, Harden,27.9,678.1,96,75.7,118.5,0
 2004-05 to 2005-06, Lane Cove,222.4,678,113.6,103.7,123.4, ++
 2003-04 to 2004-05, Lismore,289.4,677.9,118.8,109.4,128.3, ++
 2010-11 to 2011-12, Wollongong,"1,396.60",677.3,98.3,94.6,101.9,0
 2012-13 to 2013-14, Blacktown,"1,942.20",677.3,95.3,92.4,98.3, --
 2013-14 to 2014-15, Cowra,93.6,676.8,95.8,83.5,108.5,0
 2007-08 to 2008-09, Newcastle,"1,058.10",676.5,100.9,96.7,105.1,0
 2012-13 to 2013-14, Parkes,104,676,95.1,82.8,107.7,0
 2010-11 to 2011-12, Cabonne,89.6,675.9,98.1,84.8,111.6,0
 2005-06 to 2006-07, Leichhardt,351.4,675.4,105.1,97.3,113,0
 2007-08 to 2008-09, Coffs Harbour,474.1,675.1,100.6,94.2,107.5,0
 2002-03 to 2003-04, Auburn,405.7,674.9,122.4,114.4,131.1, ++
 2008-09 to 2009-10, Penrith,"1,129.10",674.9,100.2,96.1,104.2,0
 2006-07 to 2007-08, Dubbo,247.3,674.5,100.8,92.1,109.5,0
 2013-14 to 2014-15, Gilgandra,32.7,674.3,95.5,77.4,116.8,0
 2007-08 to 2008-09, Tweed,616.1,674.2,100.5,94.8,106,0
 2013-14 to 2014-15, Inverell,115.5,674.1,95.4,84,107.4,0
 2004-05 to 2005-06, Parramatta,"1,020.60",674,112.9,108.4,117.9, ++
 2011-12 to 2012-13, Nambucca,148.8,674,96.1,85.7,107.1,0
 2010-11 to 2011-12, Griffith,164.8,673.8,97.8,88.1,108.1,0
 2007-08 to 2008-09, Wingecarribee,308.4,673.6,100.4,92.3,108.2,0
 2002-03 to 2003-04, Gosford,"1,121.00",673.5,122.2,117.1,127.5, ++
 2010-11 to 2011-12, Cooma-Monaro,72.3,673.5,97.7,83.6,112.5,0
 2005-06 to 2006-07, Inverell,107.7,673.4,104.8,92.5,118.4,0
 2003-04 to 2004-05, Narromine,43.4,673.3,118,97,142.2,0
 2009-10 to 2010-11, Auburn,481.3,673.2,99.5,93.6,105.6,0
 2001-02 to 2002-03, Weddin,26.7,673.1,124.4,96.2,156.9,0
 2005-06 to 2006-07, Bega Valley,222.6,673.1,104.8,95.2,114.7,0
 2004-05 to 2005-06, Hay,22.7,672.7,112.7,85,144.8,0
 2001-02 to 2002-03, Ryde,697.9,672.6,124.3,117.9,130.7, ++
 2008-09 to 2009-10, Lockhart,22.1,672.4,99.8,77.1,128.1,0
 2012-13 to 2013-14, Orange,262.6,672.4,94.6,86.6,103,0
 2003-04 to 2004-05, Mosman,198.9,672.3,117.8,106.6,128.8, ++
 2009-10 to 2010-11, Lane Cove,224.3,672.2,99.4,90.4,109.2,0
 2002-03 to 2003-04, Cooma-Monaro,66.1,672.1,121.9,102.6,142.6, +
 2002-03 to 2003-04, Tumut Shire,77.5,671.9,121.9,104.2,141.3, +
 2002-03 to 2003-04, Waverley,454.6,671.7,121.9,114,129.8, ++
 2005-06 to 2006-07, Holroyd,605,671.5,104.5,98.7,110.4,0
 2008-09 to 2009-10, Newcastle,"1,058.80",671.4,99.7,95.4,104.2,0
 2006-07 to 2007-08, Newcastle,"1,041.10",671.2,100.3,96.1,104.7,0
 2009-10 to 2010-11, Greater Hume Shire,68.9,671.1,99.2,85,114.8,0
 2003-04 to 2004-05, Clarence Valley,336.9,670.5,117.5,108.4,126.4, ++
 2005-06 to 2006-07, Muswellbrook,97.9,670.5,104.3,90.7,119.3,0
 2007-08 to 2008-09, Glen Innes Severn,63.3,670.3,99.9,84,117.6,0
 2007-08 to 2008-09, Ballina,290.8,670,99.9,91.9,108.3,0
 2012-13 to 2013-14, Coffs Harbour,504.2,670,94.3,88.4,100, -
 2010-11 to 2011-12, Corowa Shire,82.6,669.2,97.1,83.3,111,0
 2007-08 to 2008-09, Gosford,"1,154.70",668.6,99.7,95.6,103.6,0
 2005-06 to 2006-07, Gunnedah,77.8,668.3,104,87.7,120.3,0
 2002-03 to 2003-04, Mid-Western Regional,145.2,667.4,121.1,107.2,135.6, ++
 2011-12 to 2012-13, Orange,256.8,667.4,95.1,87.1,103.7,0
 2010-11 to 2011-12, Wakool,30.5,667,96.8,75.5,120.1,0
 2004-05 to 2005-06, Gwydir,37.4,666,111.6,91.8,136.1,0
 2006-07 to 2007-08, Unincorporated NSW,7.7,665.7,99.5,66.6,139.5,0
 2008-09 to 2009-10, Cooma-Monaro,69.6,665.7,98.8,84.2,115.3,0
 2009-10 to 2010-11, Glen Innes Severn,63.8,665.7,98.4,83.6,114.3,0
 2011-12 to 2012-13, Greater Hume Shire,69.8,665.6,94.9,80.5,110.2,0
 2011-12 to 2012-13, Tenterfield,51,665.2,94.8,78.6,112.6,0
