"","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","region_id","LGA"
"78",2,6,4,7,10,7,15,0,10,11,12,3,5,5,12,4,13,"LGA14950","Lockhart"
"79",174,220,261,277,315,292,310,300,299,301,265,285,292,328,373,351,466,"LGA15050","Maitland"
"80",53,67,55,71,71,57,73,68,68,60,72,71,96,75,77,70,67,"LGA15150","Manly"
"81",286,287,264,305,365,372,344,388,359,289,228,278,298,311,304,259,250,"LGA15200","Marrickville"
"82",56,67,75,93,118,91,112,75,125,125,98,119,109,125,91,125,125,"LGA15270","Mid-Western Regional"
"83",127,147,179,189,192,208,204,201,232,240,231,182,192,244,221,268,243,"LGA15300","Moree Plains"
"84",19,31,26,34,26,32,25,27,36,26,33,35,36,26,27,54,50,"LGA15350","Mosman"
"85",14,7,17,10,18,10,11,22,20,13,22,9,17,12,19,22,15,"LGA15500","Murray"
"86",37,60,60,78,81,80,105,76,68,76,81,80,75,78,103,129,92,"LGA15650","Muswellbrook"
"87",81,73,78,80,84,68,83,75,107,92,116,100,87,95,92,106,107,"LGA15700","Nambucca"
"88",92,113,76,75,104,82,75,105,97,76,72,70,43,61,66,56,89,"LGA15750","Narrabri"
"89",30,41,78,57,48,44,42,38,26,42,45,35,35,34,34,34,25,"LGA15800","Narrandera"
"90",46,43,42,55,72,65,34,33,38,41,34,44,57,40,46,52,71,"LGA15850","Narromine"
"91",395,586,720,738,753,698,752,727,752,650,624,573,632,732,682,730,692,"LGA15900","Newcastle"
"92",52,68,66,91,92,101,86,93,102,101,85,103,113,115,132,130,116,"LGA15950","North Sydney"
"93",13,9,13,23,21,15,15,8,11,2,15,13,19,9,11,19,33,"LGA16100","Oberon"
"94",126,138,151,189,235,200,151,168,170,172,222,218,266,259,295,306,306,"LGA16150","Orange"
"95",12,28,17,22,15,31,14,33,31,15,32,27,37,27,19,16,15,"LGA16180","Palerang"
"96",68,78,62,90,78,68,59,98,101,97,96,91,120,107,90,100,115,"LGA16200","Parkes"
"97",470,513,581,570,632,547,621,658,665,608,651,627,707,768,781,782,740,"LGA16250","Parramatta"
"98",649,667,762,667,752,811,787,786,912,902,863,943,1010,879,1002,1069,1057,"LGA16350","Penrith"
"99",54,89,76,99,127,85,87,101,63,69,86,82,109,97,90,78,91,"LGA16370","Pittwater"
"100",156,163,159,215,237,191,239,229,222,291,300,328,274,318,322,292,268,"LGA16380","Port Macquarie-Hastings"
"101",159,185,201,239,284,253,277,274,314,261,256,232,195,295,285,323,323,"LGA16400","Port Stephens"
"102",135,169,172,127,171,171,178,164,172,150,123,137,162,122,132,107,137,"LGA16470","Queanbeyan"
"103",255,230,264,335,319,303,300,334,410,420,327,314,341,378,334,347,367,"LGA16550","Randwick"
"104",112,104,124,155,129,151,142,181,185,161,171,111,143,158,135,121,125,"LGA16610","Richmond Valley"
"105",169,204,264,246,219,222,261,225,271,267,309,280,251,250,283,334,339,"LGA16650","Rockdale"
"106",119,153,139,184,171,201,156,138,191,148,180,127,128,150,168,154,166,"LGA16700","Ryde"
"107",146,207,243,308,261,271,291,266,243,258,182,219,236,234,235,265,274,"LGA16900","Shellharbour"
"108",393,448,455,523,548,534,540,485,495,560,535,517,493,454,419,408,388,"LGA16950","Shoalhaven"
"109",43,86,51,53,68,72,62,62,60,72,63,58,67,79,81,66,88,"LGA17000","Singleton"
"110",11,10,18,14,13,30,15,20,15,16,22,19,21,17,22,10,16,"LGA17050","Snowy River"
"111",70,41,43,41,65,53,46,48,57,99,81,107,115,104,121,113,102,"LGA17100","Strathfield"
"112",341,328,398,426,359,356,321,416,499,463,463,501,489,447,374,442,453,"LGA17150","Sutherland Shire"
"113",143,119,156,179,182,161,243,282,239,268,328,371,363,421,408,337,360,"LGA17310","Tamworth Regional"
"114",13,17,28,27,25,26,23,17,22,18,15,20,19,18,27,24,22,"LGA17350","Temora"
"115",40,32,33,26,59,56,53,80,66,65,49,50,54,35,52,56,51,"LGA17400","Tenterfield"
"116",105,121,140,203,229,225,250,276,323,319,322,284,262,262,267,266,227,"LGA17420","The Hills Shire"
"117",8,18,17,13,17,17,9,8,7,12,9,8,9,6,5,9,14,"LGA17450","Tumbarumba"
"118",27,52,47,72,76,70,62,87,49,70,41,40,46,46,58,61,64,"LGA17500","Tumut Shire"
"119",154,133,143,208,207,229,230,270,254,274,290,274,254,289,337,408,329,"LGA17550","Tweed"
"120",22,22,24,38,31,33,29,13,27,25,34,34,36,27,27,24,27,"LGA17620","Upper Hunter Shire"
"121",9,10,11,13,22,18,9,7,14,8,10,9,12,8,15,16,14,"LGA17640","Upper Lachlan Shire"
