region_id,LGA
LGA36720,Sunshine Coast (R)
LGA34880,Mareeba (S)
LGA36820,Tablelands (R)
LGA36910,Toowoomba (R)
LGA36950,Torres (S)
LGA36960,Torres Strait Island (R)
LGA37010,Townsville (C)
LGA37300,Weipa (T)
LGA37310,Western Downs (R)
LGA37340,Whitsunday (R)
LGA37400,Winton (S)
LGA37550,Woorabinda (S)
LGA37570,Wujal Wujal (S)
LGA37600,Yarrabah (S)
LGA39499,No usual address (Qld)
LGA40070,Adelaide (C)
LGA40120,Adelaide Hills (DC)
LGA40220,Alexandrina (DC)
LGA40250,Anangu Pitjantjatjara (AC)
LGA40310,Barossa (DC)
LGA40430,Barunga West (DC)
LGA40520,Berri and Barmera (DC)
LGA49399,Unincorporated SA
LGA40700,Burnside (C)
LGA40910,Campbelltown (C) (SA)
LGA41010,Ceduna (DC)
LGA41060,Charles Sturt (C)
LGA41140,Clare and Gilbert Valleys (DC)
LGA41190,Cleve (DC)
LGA41330,Coober Pedy (DC)
LGA41560,Copper Coast (DC)
LGA41750,Elliston (DC)
LGA41830,Flinders Ranges (DC)
LGA49399,Unincorporated SA
LGA41190,Cleve (DC)
LGA41960,Franklin Harbour (DC)
LGA42030,Gawler (T)
LGA43650,Light (RegC)
LGA42110,Goyder (DC)
LGA42250,Grant (DC)
LGA42600,Holdfast Bay (C)
LGA42750,Kangaroo Island (DC)
LGA43080,Karoonda East Murray (DC)
LGA43220,Kimba (DC)
LGA43360,Kingston (DC) (SA)
LGA43650,Light (RegC)
LGA43710,Lower Eyre Peninsula (DC)
LGA47910,Tumby Bay (DC)
LGA43790,Loxton Waikerie (DC)
LGA43920,Mallala (DC)
LGA44000,Maralinga Tjarutja (AC)
LGA44060,Marion (C)
LGA44210,Mid Murray (DC)
LGA44340,Mitcham (C)
LGA44550,Mount Barker (DC)
LGA44620,Mount Gambier (C)
LGA44830,Mount Remarkable (DC)
LGA45040,Murray Bridge (RC)
LGA45090,Naracoorte and Lucindale (DC)
LGA45120,Northern Areas (DC)
LGA45290,Norwood Payneham St Peters (C)
LGA45340,Onkaparinga (C)
LGA45400,Orroroo/Carrieton (DC)
LGA45540,Peterborough (DC)
LGA45680,Playford (C)
LGA45890,Port Adelaide Enfield (C)
LGA46090,Port Augusta (C)
LGA46300,Port Lincoln (C)
LGA46450,Port Pirie City and Dists (M)
LGA46510,Prospect (C)
LGA46670,Renmark Paringa (DC)
LGA46860,Robe (DC)
LGA46970,Roxby Downs (M)
LGA47140,Salisbury (C)
LGA47290,Southern Mallee (DC)
LGA47490,Streaky Bay (DC)
LGA47630,Tatiara (DC)
LGA47700,Tea Tree Gully (C)
LGA47800,The Coorong (DC)
LGA47910,Tumby Bay (DC)
LGA47980,Unley (C)
LGA48050,Victor Harbor (C)
LGA48130,Wakefield (DC)
LGA48260,Walkerville (M)
LGA48340,Wattle Range (DC)
LGA48410,West Torrens (C)
LGA48540,Whyalla (C)
LGA43220,Kimba (DC)
LGA48640,Wudinna (DC)
LGA48750,Yankalilla (DC)
LGA48830,Yorke Peninsula (DC)
LGA49399,Unincorporated SA
LGA49499,No usual address (SA)
LGA50080,Albany (C)
LGA50210,Armadale (C)
LGA50250,Ashburton (S)
LGA50280,Augusta-Margaret River (S)
LGA50350,Bassendean (T)
LGA50420,Bayswater (C)
LGA50490,Belmont (C)
LGA50560,Beverley (S)
LGA50630,Boddington (S)
LGA50770,Boyup Brook (S)
LGA50840,Bridgetown-Greenbushes (S)
LGA50910,Brookton (S)
LGA50980,Broome (S)
LGA51080,Broomehill-Tambellup (S)
LGA51120,Bruce Rock (S)
LGA51190,Bunbury (C)
LGA51260,Busselton (C)
LGA51310,Cambridge (T)
LGA51330,Canning (C)
LGA51400,Capel (S)
LGA51470,Carnamah (S)
LGA51540,Carnarvon (S)
LGA51610,Chapman Valley (S)
LGA51680,Chittering (S)
LGA51750,Claremont (T)
LGA51820,Cockburn (C)
LGA51890,Collie (S)
LGA51960,Coolgardie (S)
LGA52030,Coorow (S)
LGA52100,Corrigin (S)
LGA52170,Cottesloe (T)
LGA52240,Cranbrook (S)
LGA52310,Cuballing (S)
LGA52380,Cue (S)
LGA52450,Cunderdin (S)
LGA52520,Dalwallinu (S)
LGA52590,Dandaragan (S)
LGA52660,Dardanup (S)
LGA52730,Denmark (S)
LGA52800,Derby-West Kimberley (S)
LGA52870,Donnybrook-Balingup (S)
LGA52940,Dowerin (S)
LGA53010,Dumbleyung (S)
LGA53080,Dundas (S)
LGA53150,East Fremantle (T)
LGA53220,East Pilbara (S)
LGA53290,Esperance (S)
LGA53360,Exmouth (S)
LGA53430,Fremantle (C)
LGA53800,Greater Geraldton (C)
LGA53570,Gingin (S)
LGA53640,Gnowangerup (S)
LGA53710,Goomalling (S)
LGA53780,Gosnells (C)
LGA53920,Halls Creek (S)
LGA53990,Harvey (S)
LGA54060,Irwin (S)
LGA54130,Jerramungup (S)
LGA54170,Joondalup (C)
LGA54200,Kalamunda (S)
LGA54280,Kalgoorlie/Boulder (C)
LGA51080,Broomehill-Tambellup (S)
LGA54340,Katanning (S)
LGA54410,Kellerberrin (S)
LGA54480,Kent (S)
LGA54550,Kojonup (S)
LGA54620,Kondinin (S)
LGA54690,Koorda (S)
LGA54760,Kulin (S)
LGA54830,Kwinana (C)
LGA54900,Lake Grace (S)
LGA54970,Laverton (S)
LGA55040,Leonora (S)
LGA55110,Mandurah (C)
LGA55180,Manjimup (S)
LGA55250,Meekatharra (S)
LGA55320,Melville (C)
LGA55390,Menzies (S)
LGA55460,Merredin (S)
LGA55530,Mingenew (S)
LGA55600,Moora (S)
LGA55670,Morawa (S)
LGA55740,Mosman Park (T)
LGA55810,Mount Magnet (S)
LGA55880,Mount Marshall (S)
LGA55950,Mukinbudin (S)
LGA56860,Nungarin (S)
LGA53800,Greater Geraldton (C)
LGA56090,Mundaring (S)
LGA56160,Murchison (S)
LGA56230,Murray (S)
LGA56300,Nannup (S)
LGA56370,Narembeen (S)
LGA56460,Narrogin (S)
LGA56460,Narrogin (S)
LGA56580,Nedlands (C)
LGA56620,Ngaanyatjarraku (S)
LGA56730,Northam (S)
LGA53800,Greater Geraldton (C)
LGA56790,Northampton (S)
LGA56860,Nungarin (S)
LGA56930,Peppermint Grove (S)
LGA57000,Perenjori (S)
LGA57080,Perth (C)
LGA57140,Pingelly (S)
LGA57210,Plantagenet (S)
LGA57280,Port Hedland (T)
LGA57350,Quairading (S)
LGA57420,Ravensthorpe (S)
LGA57490,Rockingham (C)
LGA54310,Karratha (C)
LGA57630,Sandstone (S)
LGA57700,Serpentine-Jarrahdale (S)
LGA57770,Shark Bay (S)
LGA57840,South Perth (C)
LGA57910,Stirling (C)
LGA57980,Subiaco (C)
LGA58050,Swan (C)
LGA58190,Tammin (S)
LGA58260,Three Springs (S)
LGA58330,Toodyay (S)
LGA58400,Trayning (S)
LGA58470,Upper Gascoyne (S)
LGA58510,Victoria Park (T)
LGA58540,Victoria Plains (S)
LGA58570,Vincent (C)
LGA58610,Wagin (S)
LGA58680,Wandering (S)
LGA58760,Wanneroo (C)
LGA58820,Waroona (S)
LGA58890,West Arthur (S)
LGA59030,Westonia (S)
LGA59100,Wickepin (S)
LGA59170,Williams (S)
LGA59250,Wiluna (S)
LGA59310,Wongan-Ballidu (S)
LGA59320,Woodanilling (S)
LGA59330,Wyalkatchem (S)
LGA59340,Wyndham-East Kimberley (S)
LGA59350,Yalgoo (S)
LGA59360,Yilgarn (S)
LGA59370,York (S)
LGA59499,No usual address (WA)
LGA60210,Break O'Day (M)
LGA60410,Brighton (M)
