,LGA,region_id,yr1999_dv,yr2000_dv,yr2001_dv,yr2002_dv,yr2003_dv,yr2004_dv,yr2005_dv,yr2006_dv,yr2007_dv,yr2008_dv,yr2009_dv,yr2010_dv,yr2011_dv,yr2012_dv,yr2013_dv,yr2014_dv,yr2015_dv
102,Queanbeyan,LGA16470,135,169,172,127,171,171,178,164,172,150,123,137,162,122,132,107,137
103,Randwick,LGA16550,255,230,264,335,319,303,300,334,410,420,327,314,341,378,334,347,367
104,Richmond Valley,LGA16610,112,104,124,155,129,151,142,181,185,161,171,111,143,158,135,121,125
105,Rockdale,LGA16650,169,204,264,246,219,222,261,225,271,267,309,280,251,250,283,334,339
106,Ryde,LGA16700,119,153,139,184,171,201,156,138,191,148,180,127,128,150,168,154,166
107,Shellharbour,LGA16900,146,207,243,308,261,271,291,266,243,258,182,219,236,234,235,265,274
108,Shoalhaven,LGA16950,393,448,455,523,548,534,540,485,495,560,535,517,493,454,419,408,388
109,Singleton,LGA17000,43,86,51,53,68,72,62,62,60,72,63,58,67,79,81,66,88
110,Snowy River,LGA17050,11,10,18,14,13,30,15,20,15,16,22,19,21,17,22,10,16
111,Strathfield,LGA17100,70,41,43,41,65,53,46,48,57,99,81,107,115,104,121,113,102
112,Sutherland Shire,LGA17150,341,328,398,426,359,356,321,416,499,463,463,501,489,447,374,442,453
113,Tamworth Regional,LGA17310,143,119,156,179,182,161,243,282,239,268,328,371,363,421,408,337,360
114,Temora,LGA17350,13,17,28,27,25,26,23,17,22,18,15,20,19,18,27,24,22
115,Tenterfield,LGA17400,40,32,33,26,59,56,53,80,66,65,49,50,54,35,52,56,51
116,The Hills Shire,LGA17420,105,121,140,203,229,225,250,276,323,319,322,284,262,262,267,266,227
117,Tumbarumba,LGA17450,8,18,17,13,17,17,9,8,7,12,9,8,9,6,5,9,14
118,Tumut Shire,LGA17500,27,52,47,72,76,70,62,87,49,70,41,40,46,46,58,61,64
119,Tweed,LGA17550,154,133,143,208,207,229,230,270,254,274,290,274,254,289,337,408,329
120,Upper Hunter Shire,LGA17620,22,22,24,38,31,33,29,13,27,25,34,34,36,27,27,24,27
121,Upper Lachlan Shire,LGA17640,9,10,11,13,22,18,9,7,14,8,10,9,12,8,15,16,14
122,Uralla,LGA17650,16,18,25,15,19,18,16,28,12,16,12,14,32,17,16,21,8
123,Wagga Wagga,LGA17750,247,263,352,362,304,294,260,220,281,259,293,236,258,315,349,305,325
124,Wakool,LGA17800,7,18,17,6,5,6,5,6,7,7,12,9,13,18,13,11,4
125,Walcha,LGA17850,25,26,12,20,9,6,14,13,12,6,11,8,11,9,12,6,8
126,Walgett,LGA17900,183,188,219,195,172,275,231,240,177,165,194,214,179,199,219,171,178
127,Warringah,LGA18000,175,241,235,304,352,275,240,205,227,218,243,238,289,232,236,245,188
128,Warrumbungle Shire,LGA18020,28,27,44,42,28,33,51,38,64,51,45,49,60,55,50,48,45
