LGA,region_id,yr_2006_Couple family with children,yr_2007_Couple family with children,yr_2008_Couple family with children,yr_2009_Couple family with children,yr_2010_Couple family with children,yr_2011_Couple family with children,yr_2012_Couple family with children,yr_2013_Couple family with children,yr_2014_Couple family with children,yr_2015_Couple family with children,yr_2016_Couple family with children,yr_2006One parent family,yr_2007One parent family,yr_2008One parent family,yr_2009One parent family,yr_2010One parent family,yr_2011One parent family,yr_2012One parent family,yr_2013One parent family,yr_2014One parent family,yr_2015One parent family,yr_2016One parent family,,,,
Gilgandra (A),LGA12950,0.437796161,0.42196323,0.406702899,0.391994459,0.37781795,0.374464439,0.460777532,0.566985573,0.697674295,0.858486432,0.029212064,0.1965,0.1902,0.1841,0.1782,0.1726,0.171379606,0.210257193,0.25795419,0.316471284,0.388263023,0.015869256,,,,
Glen Innes Severn (A),LGA13010,0.519069166,0.472708084,0.430487779,0.392038414,0.357023186,0.333624836,0.402898722,0.486556644,0.587585302,0.709591559,0.056529291,0.1151,0.1286,0.1437,0.1606,0.1795,0.169217315,0.20419889,0.246412057,0.297351773,0.358822039,0.029291015,,,,
Goulburn Mulwaree (A),LGA13310,0.50852468,0.482217418,0.457271096,0.43361531,0.411183298,0.403295629,0.445517768,0.49216026,0.543685883,0.600605867,0.234407074,0.1219,0.1375,0.1550,0.1748,0.1972,0.184192152,0.202804535,0.223297677,0.245861624,0.270705629,0.109742618,,,,
Greater Hume Shire (A),LGA13340,0.444283162,0.44330761,0.442334199,0.441362926,0.440393786,0.440380952,0.527757889,0.632471474,0.757961506,0.908350288,0.090873204,0.1838,0.1700,0.1573,0.1455,0.1346,0.128761905,0.154004647,0.184196027,0.220306186,0.263495452,0.027790936,,,,
Griffith (C),LGA13450,0.468279789,0.471720391,0.475186272,0.478677618,0.482194616,0.482042197,0.544168094,0.614300816,0.693472286,0.782847425,0.233538607,0.1573,0.1541,0.1509,0.1478,0.1447,0.144306652,0.16198761,0.181834901,0.204113951,0.22912271,0.07358282,,,,
Gunnedah (A),LGA13550,0.466412779,0.454980347,0.44382814,0.432949289,0.422337095,0.420683051,0.500036666,0.594358785,0.706472924,0.839735198,0.103268593,0.1558,0.1592,0.1627,0.1663,0.1699,0.169486116,0.201593946,0.239784357,0.285209645,0.339240401,0.041054792,,,,
Gwydir (A),LGA13660,0.450574713,0.435203762,0.420357177,0.40601707,0.392166163,0.389090909,0.477067094,0.584935313,0.717193292,0.879355729,0.037186168,0.1701,0.1578,0.1463,0.1357,0.1258,0.120727273,0.147178631,0.179425486,0.218737629,0.266663068,0.014921838,,,,
Hawkesbury (C),LGA13800,0.413796254,0.435195307,0.457700991,0.481370533,0.506264121,0.499392467,0.458639762,0.421212665,0.386839789,0.355271897,0.662403284,0.2033,0.1954,0.1879,0.1807,0.1737,0.171931956,0.159155432,0.14732835,0.136380156,0.12624554,0.223038055,,,,
Hornsby (A),LGA14000,0.435707678,0.467747709,0.502143824,0.539069278,0.578710068,0.563867803,0.265765593,0.125262251,0.059039364,0.027826791,1.756276646,0.1800,0.1648,0.1508,0.1380,0.1263,0.119023707,0.060353927,0.030603958,0.015518497,0.007869039,0.353702826,,,,
Hunters Hill (A),LGA14100,0.416004465,0.444211181,0.474330422,0.506491864,0.540833976,0.528831329,0.624760936,0.738092102,0.871981456,1.030158239,0.145112901,0.1983,0.1770,0.1579,0.1409,0.1257,0.112858464,0.133572686,0.158088828,0.187104702,0.221446195,0.030001579,,,,
