LGA,region_id,2006_Government_ppt,2007_Government_ppt,2008_Government_ppt,2009_Government_ppt,2010_Government_ppt,2011_Government_ppt,2012_Government_ppt,2013_Government_ppt,2014_Government_ppt,2015_Government_ppt,2016_Government_ppt
Orange (C),LGA16150,0.2894,0.262959577,0.238934828,0.217105049,0.197269702,0.183638308,0.188903731,0.194320128,0.199891829,0.205623286,0.2047
Parkes (A),LGA16200,0.3478,0.308351759,0.273377825,0.242370711,0.214880492,0.190007037,0.206980278,0.22546973,0.245610837,0.267551139,0.2579
Penrith (C),LGA16350,0.2211,0.188757778,0.161146535,0.137574228,0.117450048,0.091731112,0.110623334,0.13340645,0.160881799,0.194015755,0.1673
Port Macquarie-Hastings (A),LGA16380,0.1734,0.166380358,0.159644888,0.153182085,0.146980912,0.145321432,0.149291074,0.153369152,0.157558628,0.161862544,0.1612
Port Stephens (A),LGA16400,0.2003,0.243842259,0.296849962,0.361380755,0.439939589,0.374469036,0.319276777,0.272219197,0.232097342,0.197888969,0.1537
Queanbeyan-Palerang Regional (A),LGA16490,0.2055,0.209122424,0.212808702,0.216559959,0.220377341,0.219989696,0.203817272,0.188833755,0.174951743,0.16209026,0.1553
Randwick (C),LGA16550,0.1942,0.205212138,0.21684872,0.229145157,0.242138865,0.238248551,0.218961413,0.201235644,0.184944843,0.169972846,0.1611
Richmond Valley (A),LGA16610,0.2293,0.206005249,0.185077029,0.166274921,0.149382933,0.136120996,0.141490747,0.147072326,0.152874089,0.158904722,0.1576
Rockdale (C),LGA16650,0.0938,0.120074088,0.153707747,0.196762448,0.251877095,0.198896353,0.165847265,0.138289691,0.115311149,0.096150776,0.0667
Ryde (C),LGA16700,0.1507,0.177504638,0.209076951,0.246264954,0.290067495,0.257918552,0.220038914,0.187722532,0.16015235,0.136631308,0.1064
Shellharbour (C),LGA16900,0.3925,0.348453014,0.309349052,0.274633401,0.243813596,0.216312057,0.242734043,0.272383409,0.305654373,0.342989303,0.322
Shoalhaven (C),LGA16950,0.2362,0.192319293,0.156590645,0.127499585,0.103812998,0.060677171,0.095632878,0.150726332,0.237558751,0.37441474,0.2005
Singleton (A),LGA17000,0.2649,0.237636039,0.213178131,0.191237474,0.171554986,0.155844156,0.162983117,0.170449102,0.178257091,0.186422751,0.1844
Snowy Valleys (A),LGA17080,0.3137,0.288926267,0.266108982,0.245093639,0.225737935,0.214605067,0.2157038,0.216808159,0.217918171,0.219033867,0.219
Strathfield (A),LGA17100,0.1336,0.130997101,0.128444915,0.125942451,0.123488743,0.123188406,0.118141304,0.113300986,0.108658978,0.104207155,0.103
Tamworth Regional (A),LGA17310,0.233,0.196849448,0.166307747,0.14050467,0.118705007,0.08839779,0.106073343,0.127283205,0.152734078,0.183273973,0.1591
Temora (A),LGA17350,0.3019,0.2863272,0.271557687,0.257550024,0.244264914,0.239608802,0.230456601,0.221653982,0.213187592,0.205044587,0.203
Tenterfield (A),LGA17400,0.2367,0.351920161,0.523226869,0.777921775,1.156596352,0.697580645,0.556585484,0.444088297,0.354329068,0.282711995,0.1336
The Hills Shire (A),LGA17420,0.0584,0.122793056,0.258187234,0.542869853,1.141449453,0.315972222,0.241829167,0.18508382,0.1416538,0.108414658,0.0194
Tweed (A),LGA17550,0.1675,0.138452165,0.114441803,0.094595315,0.078190604,0.051308659,0.075706494,0.11170577,0.1648231,0.243198309,0.1489
Upper Hunter Shire (A),LGA17620,0.2401,0.220159388,0.20187487,0.185108904,0.169735373,0.160337553,0.163928165,0.167599185,0.171352414,0.175189694,0.1747
Upper Lachlan Shire (A),LGA17640,0.1927,0.159323206,0.131727473,0.108911486,0.090047365,0.059192825,0.062969619,0.066987391,0.071261516,0.075808352,0.0743
Uralla (A),LGA17650,0.1656,0.165668683,0.165737393,0.165806133,0.165874901,0.16587473,0.151281048,0.137971319,0.125832583,0.114761814,0.1075
Wagga Wagga (C),LGA17750,0.2812,0.235258974,0.19682356,0.164667528,0.137764985,0.097435897,0.119051923,0.145463436,0.177734307,0.21716443,0.1839
Walgett (A),LGA17900,0.595,0.534770985,0.480638666,0.431985904,0.388258029,0.354083939,0.422887954,0.50506166,0.603202994,0.720414715,0.6293
Warrumbungle Shire (A),LGA18020,0.3525,0.267855176,0.203535874,0.154661382,0.117522984,0.013920705,0.073865529,0.391942533,2.079710958,11.03528528,0.2537
Waverley (A),LGA18050,0.0515,0.07871934,0.12032494,0.183920385,0.281127986,0.160377358,0.131033019,0.10705783,0.087469396,0.071465069,0.043
Wentworth (A),LGA18200,0.2258,0.229281034,0.232815734,0.236404926,0.240049451,0.239724138,0.218743103,0.199598362,0.182129199,0.166188964,0.1558
Western Plains Regional (A),LGA18230,0.2553,0.225178667,0.198611171,0.175178217,0.154509978,0.134814667,0.151036,0.169209136,0.189568923,0.212378463,0.1997
Willoughby (C),LGA18250,0.0582,0.08001745,0.110013613,0.151254445,0.20795524,0.145469799,0.121102349,0.100816658,0.083928996,0.069870163,0.048
Wingecarribee (A),LGA18350,0.1706,0.179826845,0.189552721,0.199804618,0.210610986,0.207507381,0.194055536,0.181475718,0.169711398,0.15870971,0.1537
Wollondilly (A),LGA18400,0.117,0.110689365,0.104719106,0.099070866,0.093727276,0.091757459,0.092493094,0.093234627,0.093982105,0.094735576,0.0947
Wollongong (C),LGA18450,0.3804,0.298633333,0.234442344,0.184049156,0.144487941,0.053333333,0.115025,0.248076574,0.535031399,1.15391225,0.3001
Woollahra (A),LGA18500,0.0145,0.077833698,0.417798938,2.242678381,12.03834156,0.267834793,0.203476095,0.154582311,0.117437337,0.089218023,0.0104
Yass Valley (A),LGA18710,0.2342,0.226846809,0.219724486,0.212825783,0.206143679,0.204787234,0.192390426,0.180744059,0.169802705,0.159523688,0.1552
