LGA,region_id,yr2006_x200_799_ppt,yr2007_x200_799_ppt,yr2008_x200_799_ppt,yr2009_x200_799_ppt,yr2010_x200_799_ppt,yr2011_x200_799_ppt,yr2012_x200_799_ppt,yr2013_x200_799_ppt,yr2014_x200_799_ppt,yr2015_x200_799_ppt,yr2016_x200_799_ppt
Orange (C),LGA16150,0.6166,0.582991104,0.551214122,0.521169201,0.492761933,0.482164417,0.486862086,0.491605524,0.496395176,0.501231494,0.500955093
Parkes (A),LGA16200,0.6668,0.639933382,0.61414927,0.589404048,0.565655857,0.559333527,0.562307959,0.565298209,0.56830436,0.571326497,0.571231255
Penrith (C),LGA16350,0.5519,0.524360372,0.498194961,0.473335197,0.449715926,0.441741486,0.44194479,0.442148188,0.44235168,0.442555265,0.442554703
Port Macquarie-Hastings (A),LGA16380,0.7109,0.685758982,0.661507077,0.638112842,0.615545946,0.610335927,0.610069713,0.609803615,0.609537633,0.609271767,0.609271071
Port Stephens (A),LGA16400,0.6419,0.615620803,0.590417468,0.566245951,0.543064008,0.536783211,0.543384756,0.55006749,0.556832409,0.563680527,0.563189392
Queanbeyan-Palerang Regional (A),LGA16490,0.5007,0.463419165,0.428914164,0.396978318,0.367420332,0.351576658,0.354033953,0.356508422,0.359000186,0.361509366,0.361405836
Randwick (C),LGA16550,0.486,0.452792394,0.421853811,0.393029211,0.366174151,0.353169575,0.35271013,0.352251281,0.35179303,0.351335375,0.351331792
Richmond Valley (A),LGA16610,0.7387,0.712827291,0.687860764,0.663768682,0.640520416,0.635209163,0.640355095,0.645542714,0.650772359,0.65604437,0.655792888
Rockdale (C),LGA16650,0.5781,0.547977337,0.519424255,0.492358968,0.466703955,0.457609347,0.454772081,0.451952406,0.449150214,0.446365396,0.446260282
Ryde (C),LGA16700,0.4993,0.467271748,0.437297989,0.409246937,0.382995256,0.37118699,0.373536168,0.375900213,0.378279219,0.380673282,0.3805837
Shellharbour (C),LGA16900,0.6124,0.588053698,0.564675296,0.542226316,0.520669808,0.515014791,0.520903512,0.526859565,0.53288372,0.538976756,0.538569675
Shoalhaven (C),LGA16950,0.696,0.674163947,0.653012971,0.632525577,0.612680948,0.608655788,0.612634666,0.616639553,0.620670622,0.624728041,0.624571297
Singleton (A),LGA17000,0.5247,0.493488473,0.464133548,0.436524787,0.410558319,0.39985389,0.415199424,0.431133886,0.447679878,0.46486087,0.461236024
Snowy Valleys (A),LGA17080,0.6561,0.62917101,0.603347294,0.578583488,0.554836088,0.548384039,0.55145632,0.554545813,0.557652614,0.560776822,0.560673162
Strathfield (A),LGA17100,0.5025,0.473020931,0.445271246,0.419149491,0.394560164,0.384583723,0.385932873,0.387286755,0.388645388,0.390008786,0.389980322
Tamworth Regional (A),LGA17310,0.6617,0.635457991,0.610256701,0.586054855,0.562812817,0.556731966,0.553723893,0.550732074,0.547756419,0.544796843,0.544699676
Temora (A),LGA17350,0.7031,0.684007028,0.665432533,0.647362436,0.629783041,0.626728111,0.621771766,0.616854618,0.611976357,0.607136674,0.606902734
