LGA,region_id,yr2006_Unemployment_ppt,yr2007_Unemployment_ppt,yr2008_Unemployment_ppt,yr2009_Unemployment_ppt,yr2010_Unemployment_ppt,yr2011_Unemployment_ppt,yr2012_Unemployment_ppt,yr2013_Unemployment_ppt,yr2014_Unemployment_ppt,yr2015_Unemployment_ppt,yr2016_Unemployment_ppt
Warrumbungle Shire (A),LGA18020,0.0771,0.067,0.059,0.051,0.045,0.038,0.05035,0.06671375,0.088395719,0.117124327,0.0874
Waverley (A),LGA18050,0.0335,0.031,0.028,0.026,0.024,0.023,0.027275,0.032344592,0.038356468,0.045485768,0.0401
Wentworth (A),LGA18200,0.0501,0.074,0.110,0.162,0.239,0.146,0.1254,0.107706575,0.09250962,0.079456893,0.0636
Western Plains Regional (A),LGA18230,0.0525,0.067,0.085,0.107,0.136,0.109,0.097325,0.08690051,0.077592589,0.069281639,0.0623
Willoughby (C),LGA18250,0.0341,0.088,0.225,0.578,1.483,0.248,0.199325,0.16020345,0.128760293,0.10348849,0.0533
Wingecarribee (A),LGA18350,0.0408,0.067,0.110,0.181,0.298,0.146,0.11925,0.097401113,0.079555361,0.064979293,0.039
Wollondilly (A),LGA18400,0.0414,0.073,0.127,0.223,0.390,0.166,0.134925,0.109667203,0.089137634,0.072451177,0.0417
Wollongong (C),LGA18450,0.0697,0.073,0.076,0.079,0.083,0.082,0.080625,0.079273056,0.077943783,0.076636798,0.0765
Woollahra (A),LGA18500,0.0269,0.046,0.078,0.132,0.224,0.102,0.08515,0.071083554,0.05934083,0.049537957,0.0346
Yass Valley (A),LGA18710,0.026,0.034,0.045,0.059,0.078,0.059,0.051825,0.045522553,0.039986548,0.035123777,0.0303
