LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Georges River (A),LGA12930,0.9822,0.985329185,0.98846834,0.991617495,0.994776684,0.994716741,0.994738402,0.994760063,0.994781725,0.994803388,0.994803385,0.0178,0.01467783,0.012103297,0.009980345,0.008229765,0.00531132,0.005282644,0.005254122,0.005225755,0.005197541,0.005196615
Gilgandra (A),LGA12950,0.9936,0.961399299,0.930242162,0.900094769,0.870924396,0.864797196,0.860876773,0.856974123,0.853089165,0.849221819,0.849115505,0.0064,0.043885119,0.300922444,2.063440186,14.14911211,0.156340475,0.15497648,0.153624385,0.152284087,0.150955482,0.150884495
Glen Innes Severn (A),LGA13010,0.9295,0.931614497,0.933733804,0.935857932,0.937986892,0.937957987,0.934892058,0.931836151,0.928790232,0.92575427,0.925694271,0.0705,0.069411458,0.068339724,0.067284538,0.066245644,0.066145833,0.068185807,0.070288695,0.072456437,0.074691034,0.074305729
Goulburn Mulwaree (A),LGA13310,0.9683,0.968341948,0.968383897,0.968425848,0.968467801,0.96846779,0.965343433,0.962229156,0.959124925,0.956030709,0.955970362,0.0317,0.031914716,0.032130886,0.03234852,0.032567628,0.032558862,0.035426556,0.038546829,0.041941926,0.045636054,0.044029638
Greater Hume Shire (A),LGA13340,0.9736,0.975319881,0.977042801,0.978768764,0.980497775,0.980479525,0.976260322,0.972059275,0.967876307,0.963711338,0.963602714,0.0264,0.024777278,0.023254299,0.021824932,0.020483425,0.019909111,0.024031154,0.029006639,0.035012263,0.042261311,0.036397286
Griffith (C),LGA13450,0.9833,0.976558735,0.969863687,0.963214538,0.956610974,0.956334941,0.953968677,0.951608269,0.949253701,0.946904958,0.946869887,0.0167,0.023939688,0.034317883,0.049195175,0.070521983,0.045658751,0.047526592,0.049470843,0.051494631,0.05360121,0.053130113
Gunnedah (A),LGA13550,0.9634,0.942530746,0.922113563,0.902138659,0.882596453,0.879922983,0.875183116,0.870468781,0.86577984,0.861116158,0.860963514,0.0366,0.061565775,0.103561329,0.174203099,0.293031388,0.136463099,0.137106446,0.137752826,0.138402253,0.139054741,0.139036486
Gwydir (A),LGA13660,0.8906,0.907093794,0.92389305,0.941003426,0.958430685,0.956575174,0.950841712,0.945142615,0.939477677,0.933846694,0.933641327,0.1094,0.093399036,0.079738391,0.068075767,0.058118931,0.045396146,0.050636777,0.056482399,0.063002853,0.070276042,0.066358673
Hawkesbury (C),LGA13800,0.9642,0.96627206,0.968348573,0.970429549,0.972514996,0.972488241,0.969333346,0.966188686,0.963054228,0.959929938,0.959868661,0.0358,0.033922517,0.032143497,0.030457774,0.028860457,0.028290069,0.031250386,0.034520476,0.038132753,0.042123025,0.040131339
Hornsby (A),LGA14000,0.9569,0.966788547,0.976779281,0.98687326,0.997071548,0.996454188,0.996191181,0.995928244,0.995665377,0.995402578,0.995402162,0.0431,0.033214607,0.025596523,0.019725719,0.015201439,0.00355843,0.003818282,0.00409711,0.004396298,0.004717335,0.004597838
