LGA,region_id,yr2006_M_Born_Aust_ppt,yr2007_M_Born_Aust_ppt,yr2008_M_Born_Aust_ppt,yr2009_M_Born_Aust_ppt,yr2010_M_Born_Aust_ppt,yr2011_M_Born_Aust_ppt,yr2012_M_Born_Aust_ppt,yr2013_M_Born_Aust_ppt,yr2014_M_Born_Aust_ppt,yr2015_M_Born_Aust_ppt,yr2016_M_Born_Aust_ppt,yr2006_M_Born_OS_ppt,yr2007_M_Born_OS_ppt,yr2008_M_Born_OS_ppt,yr2009_M_Born_OS_ppt,yr2010_M_Born_OS_ppt,,yr2011_M_Born_OS_ppt,yr2012_M_Born_OS_ppt,yr2013_M_Born_OS_ppt,yr2014_M_Born_OS_ppt,yr2015_M_Born_OS_ppt,yr2016_M_Born_OS_ppt
Georges River (A),LGA12930,0.2938,0.286925078,0.280211029,0.273654089,0.267250582,0.266300312,0.209300234,0.164500701,0.129290255,0.101616406,0.0383,0.1904,0.197779207,0.205444405,0.213406678,0.221677539,0.038756339,0.219916828,0.165287621,0.124228773,0.093369291,0.070175566,0.0014
Gilgandra (A),LGA12950,0.4745,0.464563187,0.454834467,0.445309482,0.435983967,0.434752747,0.34523956,0.274156644,0.217709307,0.172884164,0.0767,0.0138,0.022197527,0.035705089,0.057432224,0.092380679,0.608516484,0.04739011,0.037017582,0.028915346,0.022586489,0.017642863,0.0059
Glen Innes Severn (A),LGA13010,0.4658,0.458522828,0.451359347,0.444307781,0.437366381,0.436691312,0.393143484,0.353938342,0.318642824,0.286867054,0.2625,0.0272,0.034985259,0.044998836,0.057878526,0.074444677,0.286222749,0.058341035,0.051980776,0.046313904,0.041264827,0.036766192,0.0329
Goulburn Mulwaree (A),LGA13310,0.462,0.455029529,0.448164227,0.441402505,0.434742801,0.434118118,0.349388588,0.281196248,0.226313429,0.182142432,0.0952,0.0439,0.050664529,0.058471401,0.06748123,0.077879379,0.154089502,0.070958117,0.054893587,0.04246598,0.032851914,0.025414421,0.0067
Greater Hume Shire (A),LGA13340,0.4774,0.4701743,0.463057964,0.456049338,0.449146791,0.448497198,0.384172899,0.329074109,0.281877691,0.24145027,0.1912,0.0297,0.036462468,0.0447647,0.054957288,0.067470651,0.227692531,0.056749873,0.055612404,0.054497735,0.053405408,0.052334975,0.0522
Griffith (C),LGA13450,0.4099,0.401444374,0.393163176,0.385052806,0.377109741,0.376077498,0.310058123,0.255628269,0.210753427,0.17375624,0.112,0.0896,0.098745029,0.108823446,0.119930517,0.132171233,0.102065057,0.126180117,0.095985087,0.073015759,0.055543014,0.042251515,0.0054
Gunnedah (A),LGA13550,0.4804,0.472352536,0.464439879,0.456659772,0.449009994,0.448210143,0.348107607,0.270361811,0.209979637,0.163083121,0.0478,0.0171,0.025751748,0.038780851,0.05840203,0.087950549,0.5059502,0.051706994,0.039230245,0.0297641,0.022582109,0.017133111,0.0018
Gwydir (A),LGA13660,0.4882,0.484125831,0.480085662,0.476079209,0.472106191,0.471903323,0.492477492,0.51394866,0.536355933,0.559740125,0.5542,0.0175,0.021684919,0.026870613,0.033296405,0.041258849,0.239138253,0.034239678,0.045804758,0.061276157,0.081973306,0.109661297,0.0805
Hawkesbury (C),LGA13800,0.4289,0.42419212,0.419535917,0.414930824,0.410376278,0.410068481,0.410076361,0.410084241,0.410092121,0.410100001,0.4101,0.067,0.072249743,0.077910827,0.084015482,0.090598463,0.078354379,0.087998974,0.09079923,0.093688595,0.096669904,0.099746082,0.0992
Hornsby (A),LGA14000,0.3232,0.317791462,0.312473432,0.307244396,0.302102864,0.301565847,0.251874385,0.210370991,0.175706448,0.146753865,0.1028,0.1612,0.167373337,0.173783089,0.18043831,0.187348401,0.038296137,0.185893349,0.148620012,0.118820324,0.094995749,0.075948222,0.0368
Hunters Hill (A),LGA14100,0.3721,0.367402658,0.362764615,0.358185121,0.353663439,0.353310632,0.353307974,0.353305316,0.353302658,0.3533,0.3533,0.128,0.13133863,0.134764342,0.138279407,0.141886156,0.02608305,0.141354521,0.266490891,0.50240625,0.947169485,1.785666547,0.6419
Inner West (A),LGA14170,0.298,0.293356749,0.288785847,0.284286166,0.279856595,0.279426998,0.245770248,0.216167426,0.19013024,0.16722921,0.1448,0.1863,0.191395865,0.196631117,0.202009569,0.207535138,0.027353005,0.20668346,0.157612595,0.120192153,0.091656087,0.069895064,0.0104
Inverell (A),LGA14200,0.4703,0.461316514,0.452504628,0.443861062,0.435382602,0.434366057,0.341399543,0.268330469,0.210900226,0.165761664,0.0625,0.0231,0.031556056,0.043107562,0.058887648,0.08044424,0.366063046,0.056924225,0.044218169,0.034348232,0.026681363,0.020725816,0.0061
Junee (A),LGA14300,0.5245,0.516652768,0.508922942,0.501308764,0.493808505,0.493111073,0.433758305,0.381549467,0.335624688,0.295227594,0.2557,0.0464,0.053510665,0.061711019,0.071168053,0.08207435,0.153247092,0.07484266,0.061456995,0.050465366,0.041439598,0.034028095,0.0213
Kempsey (A),LGA14350,0.4659,0.458776674,0.45176226,0.444855091,0.438053529,0.437406697,0.372705022,0.31757409,0.270598186,0.230571008,0.1786,0.0378,0.044389312,0.052127275,0.061214124,0.071884996,0.17432042,0.064157247,0.055717936,0.04838874,0.042023634,0.036495801,0.0304
Kiama (A),LGA14400,0.4271,0.421713541,0.416395015,0.411143565,0.405958344,0.405554166,0.405565624,0.405577083,0.405588542,0.405600002,0.4056,0.0624,0.067903327,0.073892017,0.080408876,0.087500485,0.088194351,0.08441331,0.177709982,0.374121544,0.787614336,1.658114459,0.4576
Ku-ring-gai (A),LGA14500,0.3175,0.310983816,0.304601366,0.298349906,0.292226747,0.291435264,0.237676448,0.193834106,0.158079023,0.128919405,0.0764,0.1618,0.168027859,0.174495436,0.181211957,0.188187004,0.038491096,0.186711438,0.142233578,0.108351106,0.082540018,0.062877574,0.0088
Kyogle (A),LGA14550,0.4573,0.449634081,0.442096669,0.43468561,0.427398786,0.426636324,0.333652243,0.260933758,0.204064044,0.15958891,0.0547,0.0454,0.05314948,0.062221745,0.072842585,0.085276333,0.170693389,0.076397919,0.05782344,0.043764937,0.033124452,0.025070967,0.0021
Lachlan (A),LGA14600,0.4887,0.480852621,0.473131252,0.465533871,0.458058485,0.457310483,0.457307862,0.457305242,0.457302621,0.4573,0.4573,0.0137,0.021275463,0.033039805,0.051309282,0.07968093,0.552953517,0.044001853,0.08260139,0.155061415,0.291085206,0.546432502,0.1984
Lake Macquarie (C),LGA14650,0.4416,0.436445336,0.431350841,0.426315813,0.421339556,0.420981345,0.372061008,0.328825483,0.290614162,0.256843206,0.2253,0.0482,0.053003962,0.058286722,0.064096001,0.070484274,0.099667268,0.067415849,0.083636887,0.103760895,0.128726974,0.159700181,0.1323
Lane Cove (A),LGA14700,0.3312,0.325425612,0.319751898,0.314177105,0.308699507,0.308102447,0.254901835,0.21088747,0.174473146,0.144346549,0.0953,0.1559,0.160960038,0.166184309,0.171578143,0.177147046,0.032456944,0.17614015,0.134530113,0.102749721,0.078476892,0.059938095,0.0097
