LGA,region_id,Year,Alcohol Related*,Not Alcohol Related,Victim Indigeneous,Victim Non Indigeneous,Victim Unknown,Victim Male 0_17,Victim Male 18_29,Victim Male 30-39,Victim Male 40_PLUS,Victim Male UNKNOWN,Victim Female 0_17,Victim Male 18_29,Victim Female 30-39,Victim Female 40_PLUS,Victim Female UNKNOWN
Ryde,LGA16700,2017,0.263,0.737,na,0.836,0.164,0.096,0.325,0.181,0.398,0.000,0.038,0.267,0.237,0.458,0.000
Shellharbour,LGA16900,2017,0.291,0.709,0.063,0.848,0.089,0.181,0.210,0.162,0.438,0.010,0.110,0.372,0.244,0.274,0.000
Shoalhaven,LGA16950,2017,0.407,0.593,0.123,0.727,0.150,0.173,0.273,0.155,0.391,0.009,0.087,0.369,0.224,0.308,0.011
Singleton,LGA17000,2017,0.209,0.791,0.041,0.669,0.289,0.231,0.128,0.128,0.487,0.026,0.207,0.329,0.244,0.220,0.000
Strathfield,LGA17100,2017,0.265,0.735,na,0.948,0.052,na,0.366,0.293,0.317,0.024,0.064,0.351,0.298,0.287,0.000
Sutherland Shire,LGA17150,2017,0.376,0.624,0.010,0.874,0.117,0.123,0.205,0.149,0.523,0.000,0.082,0.211,0.252,0.453,0.003
Tamworth Regional,LGA17310,2017,0.392,0.608,0.276,0.426,0.298,0.204,0.290,0.269,0.215,0.022,0.105,0.395,0.305,0.195,0.000
Temora,LGA17350,2017,0.481,0.519,na,0.750,0.250,na,na,na,1.000,0.000,na,1.000,na,na,0.000
Tenterfield,LGA17400,2017,0.278,0.722,0.282,0.641,0.077,na,na,na,na,na,na,0.259,0.296,0.444,0.000
The Hills Shire,LGA17420,2017,0.236,0.764,0.000,0.790,0.210,0.133,0.211,0.144,0.500,0.011,0.061,0.218,0.211,0.503,0.007
Tweed,LGA17550,2017,0.402,0.598,0.074,0.809,0.117,0.124,0.270,0.169,0.438,0.000,0.100,0.245,0.259,0.395,0.000
Upper Hunter Shire,LGA17620,2017,0.481,0.519,na,0.750,0.250,na,na,na,na,na,na,0.333,0.238,0.429,0.000
Upper Lachlan Shire,LGA17640,2017,0.375,0.625,0.000,0.889,0.111,na,na,na,na,na,na,na,na,na,na
Uralla,LGA17650,2017,0.333,0.667,0.208,0.583,0.208,na,na,na,na,na,0.400,na,na,0.600,0.000
Wagga Wagga,LGA17750,2017,0.324,0.676,0.167,0.409,0.424,0.167,0.296,0.306,0.231,0.000,0.137,0.408,0.216,0.233,0.007
Walcha,LGA17850,2017,0.333,0.667,na,0.889,0.111,na,na,na,na,na,na,na,na,na,na
Walgett,LGA17900,2017,0.603,0.397,0.815,0.134,0.051,0.000,0.409,0.159,0.432,0.000,0.150,0.354,0.150,0.345,0.000
Warrumbungle Shire,LGA18020,2017,0.420,0.580,0.226,0.660,0.113,na,na,na,0.875,0.125,0.128,0.333,0.256,0.282,0.000
Waverley,LGA18050,2017,0.364,0.636,0.042,0.831,0.127,0.167,0.200,0.300,0.333,0.000,0.104,0.406,0.292,0.198,0.000
Weddin,LGA18100,2017,0.231,0.769,0.000,0.867,0.133,na,na,na,na,na,na,na,na,1.000,0.000
Wentworth,LGA18200,2017,0.559,0.441,0.639,0.246,0.115,na,0.000,0.313,0.688,0.000,na,0.556,na,0.444,0.000
Willoughby,LGA18250,2017,0.263,0.737,na,0.952,0.048,0.250,na,0.292,0.458,0.000,0.125,0.196,0.375,0.286,0.018
Wingecarribee,LGA18350,2017,0.340,0.660,0.000,0.938,0.063,0.286,0.143,0.214,0.333,0.024,na,0.277,0.246,0.477,0.000
Wollondilly,LGA18400,2017,0.341,0.659,na,0.814,0.186,0.162,0.235,0.309,0.294,0.000,0.117,0.315,0.297,0.270,0.000
Wollongong,LGA18450,2017,0.328,0.672,0.031,0.835,0.134,0.148,0.139,0.209,0.496,0.009,0.113,0.325,0.221,0.340,0.002
Woollahra,LGA18500,2017,0.495,0.505,0.000,0.881,0.119,0.143,0.200,0.457,0.200,0.000,0.091,0.197,0.318,0.394,0.000
Yass Valley,LGA18710,2017,0.308,0.692,na,0.909,0.091,na,na,na,na,na,na,na,0.385,0.615,0.000
