"","LGA","region_id","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","yr2016_dv","yr2017_dv","yr1999_pop","yr2000_pop","yr2001_pop","yr2002_pop","yr2003_pop","yr2004_pop","yr2005_pop","yr2006_pop","yr2007_pop","yr2008_pop","yr2009_pop","yr2010_pop","yr2011_pop","yr2012_pop","yr2013_pop","yr2014_pop","yr2015_pop","yr2016_pop","yr2017_pop","yr1999pct","yr2000pct","yr2001pct","yr2002pct","yr2003pct","yr2004pct","yr2005pct","yr2006pct","yr2007pct","yr2008pct","yr2009pct","yr2010pct","yr2011pct","yr2012pct","yr2013pct","yr2014pct","yr2015pct","yr2016pct","yr2017pct"
"92","Walcha","LGA17850",25,26,12,20,9,6,14,13,12,6,11,8,11,9,12,6,8,9,9,3287,3285,3307,3295,3285,3256,3280,3307,3262,3215,3185,3166,3122,3147,3157,3159,3142,3144,3157,0.76057195010648,0.791476407914764,0.362866646507409,0.606980273141123,0.273972602739726,0.184275184275184,0.426829268292683,0.393105533716359,0.367872470876763,0.186625194401244,0.345368916797488,0.252684775742262,0.352338244714926,0.285986653956149,0.380107697180868,0.189933523266857,0.254614894971356,0.286259541984733,0.285080772885651
"93","Walgett","LGA17900",183,188,219,195,172,275,231,240,177,165,194,214,179,199,219,171,178,117,146,7692,7609,7527,7445,7365,7286,7207,7129,6979,6883,6914,6908,6797,6715,6618,6547,6465,6369,6231,2.37909516380655,2.47075831252464,2.90952570745317,2.61920752182673,2.33536999321113,3.77436178973374,3.20521714999306,3.36653107027634,2.53617996847686,2.39721051866919,2.80590107029216,3.09785755645628,2.63351478593497,2.96351451973194,3.30915684496827,2.61188330533069,2.75328692962104,1.8370230805464,2.34312309420639
"94","Warrumbungle Shire","LGA18020",28,27,44,42,28,33,51,38,64,51,45,49,60,55,50,48,45,49,50,10860,10788,10849,10768,10660,10534,10500,10466,10068,10092,10092,10015,9927,9849,9738,9682,9613,9541,9421,0.257826887661142,0.25027808676307,0.405567333394783,0.390044576523031,0.26266416510319,0.313271311942282,0.485714285714286,0.363080450984139,0.635677393722686,0.505350772889417,0.44589774078478,0.489266100848727,0.604412209126624,0.558432328155143,0.513452454302732,0.495765337740136,0.468116092791012,0.513573000733676,0.530729221950961
"95","Waverley","LGA18050",109,97,125,164,161,135,141,141,171,155,139,144,134,116,149,144,200,170,154,63964,63503,63241,62823,62246,61999,61884,62194,65511,66474,67274,67959,68567,69338,70108,70835,71465,72106,73176,0.170408354699518,0.152748689038313,0.197656583545485,0.261050889005619,0.258651158307361,0.217745447507218,0.227845646693814,0.226709972023025,0.261024866053029,0.2331738724915,0.206617712637869,0.211892464574229,0.195429288141526,0.167296431970925,0.212529240600217,0.203289334368603,0.279857272790877,0.235764014090367,0.210451514157647
"96","Weddin","LGA18100",9,14,15,11,9,8,4,17,10,13,1,7,8,5,8,9,10,9,13,3853,3820,3857,3845,3812,3817,3845,3847,3765,3744,3720,3721,3734,3742,3730,3717,3703,3692,3662,0.233584220088243,0.366492146596859,0.388903292714545,0.286085825747724,0.236096537250787,0.209588682211161,0.104031209362809,0.441902781388095,0.265604249667995,0.347222222222222,0.0268817204301075,0.188121472722386,0.214247455811462,0.133618385889898,0.214477211796247,0.242130750605327,0.270051309748852,0.243770314192849,0.354997269251775
"97","Wentworth","LGA18200",62,114,88,95,89,68,76,67,90,69,91,74,66,75,68,73,66,58,59,7172,7173,7214,7211,7213,7225,7294,7405,7082,7080,6952,6885,6787,6847,6845,6874,6886,6920,6955,0.864472950362521,1.58929318276872,1.21985029110064,1.31743170156705,1.23388326632469,0.941176470588235,1.04195228955306,0.904794058068872,1.27082744987292,0.974576271186441,1.30897583429229,1.07480029048657,0.972447325769854,1.09537023513948,0.993425858290723,1.06197265056736,0.958466453674121,0.838150289017341,0.848310567936736
"98","Willoughby","LGA18250",30,73,64,95,80,106,80,71,81,49,53,59,65,86,87,70,89,73,76,59112,60031,61795,62869,63126,63805,64555,65029,68147,68657,69759,70623,71637,72173,73151,74365,76135,78017,79574,0.0507511165245635,0.121603838017025,0.103568249858403,0.151107859199287,0.126730665652821,0.166131180941932,0.123925334985671,0.109182057236002,0.118860698196546,0.0713692704312743,0.0759758597456959,0.0835421888053467,0.0907352345854796,0.1191581339282,0.11893207201542,0.0941303032340483,0.116897616076706,0.093569350269813,0.0955085832055697
"99","Wingecarribee","LGA18350",103,91,92,94,118,122,152,123,131,113,120,108,116,112,124,131,124,125,103,40631,41900,42740,43476,43922,44242,44511,44912,44725,45113,45556,45865,46042,46497,47008,47544,48247,49070,49710,0.25350102138761,0.217183770883055,0.215255030416472,0.216211242984635,0.268658075679614,0.275756068893811,0.341488620790366,0.27386889918062,0.292901062045836,0.25048212266974,0.263412064272544,0.235473672735201,0.251943877329395,0.240875755425081,0.263784887678693,0.275534241965337,0.257010798598877,0.254738129203179,0.207201770267552
"100","Wollondilly","LGA18400",107,87,96,80,94,118,95,129,125,138,144,163,153,139,172,145,183,185,164,36806,37589,38424,38944,39815,40598,41303,41977,41695,42334,42990,43644,44403,45434,46372,47411,48510,49742,50877,0.290713470629789,0.231450690361542,0.249843847595253,0.205423171733772,0.236091925153836,0.290654712054781,0.230007505508074,0.30731114658027,0.299796138625735,0.32597911843908,0.334961618981158,0.373476308312712,0.344571312749139,0.305938284104415,0.370913482273786,0.305836198350594,0.377241805813234,0.371919102569257,0.322346050278122
"101","Wollongong","LGA18450",501,651,858,744,832,763,730,729,728,683,696,622,645,681,738,776,720,792,653,186575,187816,189776,191074,191467,191459,191633,192131,195664,197790,199246,200594,201215,203283,205100,207036,209123,211201,213841,0.268524721961678,0.346615836776419,0.452111963578113,0.389377937343647,0.434539633461641,0.398518742916238,0.380936477537794,0.379428619015151,0.372066399542072,0.345315738915011,0.349316924806521,0.310079065176426,0.320552642695624,0.335000959253848,0.359824475865432,0.374814042002357,0.344294984291541,0.374998224440225,0.305367071796335
"102","Woollahra","LGA18500",50,65,75,75,52,70,67,71,68,87,80,82,67,74,78,95,90,89,93,52768,52860,53002,53108,53295,53012,52791,53033,53768,54122,54835,55487,56324,56733,57145,57619,57995,58290,58883,0.0947543966040024,0.122966326144533,0.141504094185125,0.141221661519922,0.0975701285298809,0.132045574586886,0.1269155727302,0.133878905587087,0.126469275405446,0.160747939839622,0.145892222120908,0.147782363436481,0.118954619700305,0.130435548975023,0.136494881441946,0.164876169319148,0.15518579187861,0.152684851604049,0.15794032233412
"103","Yass Valley","LGA18710",19,23,35,46,46,36,19,29,40,27,28,27,30,31,36,39,24,34,26,11537,11767,12103,12341,12630,12818,12905,13075,14114,14467,14799,15205,15516,15826,16040,16234,16418,16628,16802,0.164687527086764,0.195461884932438,0.289184499710816,0.372741268940929,0.364212193190815,0.280855047589328,0.147229755908563,0.221797323135755,0.283406546691229,0.186631644432156,0.189201973106291,0.177573166721473,0.193348801237432,0.19588019714394,0.224438902743142,0.240236540593815,0.146181020830795,0.204474380562906,0.1547434829187
"104","Canterbury-Bankstown (A)","LGA11570",584,674,878,794,851,783,849,916,983,950,1019,1111,1211,1215,1310,1408,1401,1346,1259,306108,306809,309486,309880,309867,309942,311838,315688,317132,322334,327205,331415,335388,340522,345748,351013,356386,361551,367519,0.190782338259699,0.21968064822088,0.283696193042658,0.256228217374468,0.274633955858481,0.252627911028515,0.272256748696439,0.290159904716049,0.309965566388759,0.294725347000316,0.311425558900384,0.335229244300952,0.361074337781912,0.356805140343355,0.378888670361072,0.401124744667576,0.393113085250262,0.372284961181134,0.342567323049965
"105","Central Coast (C) (NSW)","LGA11650",743,991,1162,1192,1331,1300,1266,1293,1342,1265,1296,1222,1118,1192,1178,1258,1429,1759,1640,285249,290914,296258,300116,302608,304130,305660,307766,307205,311981,315804,319229,321685,325022,327336,329815,332491,335309,337765,0.260474182205722,0.340650501522787,0.392225695171101,0.397179757160565,0.439842965156242,0.427448788347088,0.414185696525551,0.42012438021094,0.436841848277209,0.405473410239726,0.410381122468366,0.382797302250109,0.34754495857749,0.366744404994123,0.359874868636508,0.381425950911875,0.429786069397367,0.524590750621069,0.485544683433748
"106","Western Plains Regional (A)","LGA18230",199,260,261,445,543,457,403,376,371,339,335,388,398,389,399,427,416,404,346,46602,47111,47555,47619,47617,47670,47797,48118,48108,48667,49228,49422,49428,49419,49785,50370,50908,51429,52084,0.427020299557959,0.551888094075694,0.548838187362002,0.934500934500935,1.14034903500851,0.958674218586113,0.843149151620394,0.781412361278524,0.771181508273052,0.696570571434442,0.680507028520354,0.785075472461657,0.805211620943595,0.787146644003319,0.801446218740584,0.847726821520746,0.817160367722165,0.785549009313811,0.664311496812841
"107","Georges River (A)","LGA12930",122,139,206,273,270,389,367,387,351,293,314,357,357,360,388,365,436,442,439,122642,124241,126551,127833,128914,130428,131975,133359,133165,135262,137739,139800,141507,144203,146718,149117,151403,153452,156440,0.0994765251708224,0.111879331299651,0.162780222993102,0.213559878904508,0.209441953550429,0.298248842273132,0.278082970259519,0.290194137628506,0.26358277325123,0.216616640298088,0.22796738759538,0.255364806866953,0.252284339290636,0.249648065574225,0.264452896031843,0.244774237679138,0.287973157731353,0.288037953236191,0.280618767578624
"108","Mid-Coast (A)","LGA15240",267,338,408,414,433,435,437,485,515,505,456,467,444,508,412,435,453,458,405,79860,80768,81866,82927,84221,85428,86396,87127,86600,87063,87558,87993,88530,89372,90034,90622,91237,91958,92569,0.334335086401202,0.418482567353407,0.498375393936433,0.499234266282393,0.514123555882737,0.509200730439669,0.505810454187694,0.556658670676139,0.594688221709007,0.580039741336733,0.520797642705407,0.53072403486641,0.501524906811251,0.568410687911203,0.457604904813737,0.480015890181192,0.496509091706216,0.49805345918789,0.437511477924575
"109","Armidale Regional (A)","LGA10130",127,134,133,140,109,118,109,130,156,151,139,142,175,191,198,195,202,152,183,29365,29374,29282,29264,29110,28992,29041,29227,29080,29471,29723,29737,29813,29848,29993,30105,30217,30311,30552,0.432487655372041,0.456185742493362,0.454203947817772,0.47840349917988,0.37444177258674,0.407008830022075,0.37533142798113,0.444794197146474,0.536451169188446,0.5123680906654,0.467651313797396,0.477519588391566,0.586992251702278,0.639908871616189,0.66015403594172,0.647732934728451,0.668497865439984,0.501468113886048,0.59897879025923
"110","Inner West (A)","LGA14170",454,446,451,528,584,615,560,624,583,504,433,495,577,522,529,469,495,427,428,167404,167368,167720,167512,167313,167278,167501,168446,171318,173721,176317,178759,180823,182278,184704,187135,189540,192030,195113,0.271200210269767,0.266478657807944,0.26890054853327,0.315201299011414,0.349046398068291,0.367651454465022,0.334326362230673,0.370445127815442,0.340302828657818,0.290120365413508,0.245580403477827,0.276909134644969,0.319096575103831,0.2863757557138,0.286404192654193,0.250621209287413,0.261158594491928,0.222361089413113,0.219360063142897
"111","Northern Beaches (A)","LGA15990",282,397,366,474,550,417,400,374,358,347,401,391,494,404,403,393,346,305,356,227157,228681,231230,232401,233185,234221,235958,238291,237721,239438,243574,247098,250402,254385,257456,260421,263503,266344,269378,0.124143213724428,0.173604278449018,0.158283959693811,0.203957814295119,0.235864227973497,0.178036982166415,0.169521694538859,0.156950954924861,0.150596707905486,0.144922693975058,0.164631693037845,0.158236812924427,0.197282769306954,0.158814395502879,0.156531601516376,0.150909488866105,0.131307802947215,0.114513561409305,0.132156300811499
"112","Murray River (A)","LGA15520",21,25,34,16,23,16,16,28,27,20,34,18,30,30,32,33,19,29,14,10778,10891,11085,11213,11320,11423,11556,11820,11290,11347,11368,11309,11239,11391,11526,11659,11777,11887,11960,0.194841343477454,0.229547332659994,0.306720793865584,0.142691518772853,0.203180212014134,0.140068283288103,0.138456213222568,0.236886632825719,0.239149689991143,0.176258041773156,0.2990851513019,0.159165266601822,0.266927662603434,0.263365815117198,0.277633177164671,0.28304314263659,0.161331408677932,0.243963994279465,0.117056856187291
"113","Snowy Valleys (A)","LGA17080",35,70,64,85,93,87,71,95,56,82,50,48,55,52,63,70,78,87,67,15062,15059,15205,15166,15213,14989,14948,15020,14849,14750,14782,14770,14712,14753,14738,14719,14678,14644,14582,0.232372858850086,0.464838302676141,0.420914172969418,0.560464196228406,0.61131926641688,0.580425645473347,0.474979930425475,0.632490013315579,0.37712977304869,0.555932203389831,0.338249222026789,0.32498307379824,0.37384448069603,0.352470683928692,0.427466413353236,0.475575786398533,0.531407548712359,0.594099972685059,0.45947058016733
"114","Queanbeyan-Palerang Regional (A)","LGA16490",147,197,189,149,186,202,192,197,203,165,155,164,199,149,151,123,152,161,132,41389,42770,44643,45795,47069,47581,48545,49665,51764,52784,53602,54310,54661,55498,56075,56776,57446,58128,59136,0.355166831766895,0.460603226560673,0.423358645252335,0.32536303089857,0.395164545667,0.424539206826254,0.395509321248326,0.396657605959932,0.392164438605981,0.312594725674447,0.289168314615126,0.301970171239182,0.364062128391358,0.268478143356517,0.269282211324119,0.216640834155277,0.264596316540751,0.276974951830443,0.223214285714286
