"","LGA","region_id","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","yr2016_dv","yr2017_dv","yr1999_pop","yr2000_pop","yr2001_pop","yr2002_pop","yr2003_pop","yr2004_pop","yr2005_pop","yr2006_pop","yr2007_pop","yr2008_pop","yr2009_pop","yr2010_pop","yr2011_pop","yr2012_pop","yr2013_pop","yr2014_pop","yr2015_pop","yr2016_pop","yr2017_pop","yr1999pct","yr2000pct","yr2001pct","yr2002pct","yr2003pct","yr2004pct","yr2005pct","yr2006pct","yr2007pct","yr2008pct","yr2009pct","yr2010pct","yr2011pct","yr2012pct","yr2013pct","yr2014pct","yr2015pct","yr2016pct","yr2017pct"
"21","Cessnock","LGA11720",141,205,225,205,221,203,323,308,270,246,269,258,287,301,386,353,386,358,355,46775,46784,47188,47521,47809,48050,48323,48744,49083,50032,50696,51506,52493,53348,54339,55165,55965,56762,57527,0.301443078567611,0.438183994528044,0.476816139696533,0.431388228362198,0.462256060574369,0.422476586888658,0.668418765391222,0.63187264073527,0.550088625389646,0.491685321394308,0.5306138551365,0.500912515046791,0.54673956527537,0.564219839544125,0.710355361710742,0.639898486359105,0.689716787277763,0.630703639758994,0.617101534931424
"22","Clarence Valley","LGA11730",156,176,174,197,219,207,198,183,154,167,125,157,169,188,217,193,215,222,227,47554,47843,48617,48847,49013,49241,49613,50102,50295,50467,50880,51137,51252,51319,51358,51380,51383,51367,51298,0.328048113723346,0.367869907823506,0.357899500174836,0.403300100313223,0.446820231367188,0.420381389492496,0.399088948461089,0.365254880044709,0.306193458594294,0.330909307071948,0.245676100628931,0.307018401548781,0.329743229532506,0.366336054872464,0.422524241598193,0.375632541845076,0.418426327773777,0.432184087059785,0.44251237865024
"23","Cobar","LGA11750",38,18,32,43,36,36,29,39,39,39,24,31,40,32,37,40,49,42,33,5404,5256,5182,5152,5072,5012,5009,5023,5133,5053,5030,4995,4931,4857,4833,4817,4789,4764,4713,0.703182827535159,0.342465753424658,0.617522192203782,0.834627329192547,0.709779179810726,0.718276137270551,0.578957875823518,0.776428429225562,0.75978959672706,0.771818721551554,0.47713717693837,0.620620620620621,0.81119448387751,0.658842907144328,0.765570039313056,0.830392360390284,1.02317811651702,0.881612090680101,0.700190961171229
"24","Coffs Harbour","LGA11800",296,324,312,277,311,347,305,272,273,314,323,334,333,429,441,501,448,511,471,61242,62311,63062,64190,65392,66484,67276,68315,68528,69446,69952,70553,70933,71584,72317,73047,73773,74641,75484,0.483328434734333,0.519972396527098,0.494751197234468,0.431531391182427,0.475593344751652,0.521930088442332,0.453356323205898,0.398155602722682,0.398377305626897,0.452149871842871,0.461745196706313,0.473402973651014,0.469457093313408,0.599295932051855,0.609815119543123,0.685859788903035,0.607268241768669,0.684610334802588,0.623973292353346
"25","Coolamon","LGA12000",2,11,15,9,19,5,16,15,8,17,11,8,9,13,8,8,11,12,15,4035,4066,4122,4117,4101,4105,4124,4184,4167,4191,4210,4222,4213,4282,4334,4368,4380,4403,4400,0.0495662949194548,0.270536153467782,0.363901018922853,0.218605780908428,0.463301633747866,0.121802679658952,0.387972841901067,0.358508604206501,0.191984641228702,0.405631114292532,0.261282660332542,0.189483657034581,0.21362449560883,0.303596450256889,0.184586986617443,0.183150183150183,0.251141552511416,0.272541449012037,0.340909090909091
"26","Coonamble","LGA12150",52,47,71,71,59,69,71,83,48,32,40,43,56,55,57,67,54,48,53,4927,4901,4836,4733,4629,4532,4462,4392,4331,4308,4292,4292,4274,4203,4181,4156,4119,4082,4056,1.05540897097625,0.958987961640482,1.46815550041356,1.50010564124234,1.27457334197451,1.522506619594,1.59121470192739,1.88979963570127,1.1082890787347,0.74280408542247,0.931966449207828,1.00186393289842,1.3102480112307,1.30858910302165,1.36331021286774,1.6121270452358,1.31099781500364,1.17589416952474,1.30670611439842
"27","Cowra","LGA12350",45,66,89,106,89,100,56,46,59,70,88,91,68,73,75,71,79,72,62,12832,12983,13094,13041,12991,12964,12970,13011,12853,12718,12690,12603,12526,12536,12520,12574,12624,12673,12697,0.35068578553616,0.508357082338443,0.679700626241026,0.812821102676175,0.685089677469017,0.771366862079605,0.431765612952968,0.353546998693413,0.459036800746907,0.550401006447555,0.693459416863672,0.722050305482822,0.542870828676353,0.582322910019145,0.599041533546326,0.564657229203118,0.625792141951838,0.568136984139509,0.488304323856029
"28","Dungog","LGA12700",10,13,29,31,22,17,28,34,37,16,22,12,12,29,31,22,33,24,25,8107,8302,8405,8409,8421,8366,8433,8461,8361,8397,8489,8485,8547,8663,8799,8932,9025,9114,9198,0.123350191192796,0.156588773789448,0.345032718619869,0.368652634082531,0.261251632822705,0.203203442505379,0.332028933949958,0.401843753693417,0.442530797751465,0.190544241991187,0.259158911532572,0.141426045963465,0.14040014040014,0.334757012582246,0.352312762813956,0.246305418719212,0.365650969529086,0.263331138907176,0.271798217003696
"29","Eurobodalla","LGA12750",96,101,118,147,167,143,158,127,134,144,152,137,153,179,171,134,199,142,157,32346,33191,33946,34592,35267,35846,36260,36613,36635,36763,36733,36847,36993,37163,37303,37537,37805,37968,38117,0.29679094787609,0.304299358259769,0.347610911447593,0.42495374653099,0.47353049593104,0.398928750767171,0.435741864313293,0.346871329855516,0.365770438105637,0.39169817479531,0.413796858410693,0.371807745542378,0.413591760603357,0.481661867986976,0.458408170924591,0.356981111969523,0.526385398756778,0.373999157184998,0.411889708004303
"30","Fairfield","LGA12850",494,538,622,838,717,759,765,661,723,678,697,740,724,740,811,783,809,735,727,187881,188337,189034,188711,188329,187515,187911,188074,188563,190979,193600,195298,196622,198350,200499,202408,204277,206436,209107,0.262932388054141,0.285658155327949,0.329041336479152,0.4440652638161,0.380716724455607,0.404767618590513,0.407107620096748,0.351457405063964,0.383426228899625,0.355012854816498,0.360020661157025,0.378908130139582,0.368219222670912,0.373077892614066,0.404490795465314,0.386842417295759,0.396030879638922,0.356042550717898,0.3476688967849
